tanggal,t2m_c,u10,v10,tp_mm
2023-01-01,25.2961,2.3136,0.4158,30.2768
2023-01-02,25.1704,2.9234,0.0793,14.4594
2023-01-03,24.8728,2.8521,0.9016,38.953
2023-01-04,24.691,2.0891,0.393,33.2726
2023-01-05,25.4433,1.8626,0.4752,7.7824
2023-01-06,26.2624,2.6078,0.782,2.1062
2023-01-07,25.8653,2.884,0.945,4.9688
2023-01-08,25.7397,2.5862,0.9337,21.8074
2023-01-09,26.2841,1.8558,0.1698,10.1418
2023-01-10,26.1542,1.4402,0.777,1.316
2023-01-11,26.3236,0.1666,0.5641,1.6904
2023-01-12,26.7432,0.0129,0.0559,1.381
2023-01-13,25.7842,-0.1624,-0.1337,9.9483
2023-01-14,26.213,0.7329,0.4455,6.6721
2023-01-15,26.6479,2.2206,0.6823,3.1703
2023-01-16,25.9933,2.4636,0.2645,19.411
2023-01-17,24.8109,1.8361,0.2859,34.9616
2023-01-18,24.9475,1.5098,-0.2921,24.5511
2023-01-19,24.2859,1.4856,0.4191,34.3054
2023-01-20,25.3701,1.8779,0.9103,29.6988
2023-01-21,25.4633,1.8626,0.7447,36.0855
2023-01-22,25.4471,2.2652,0.4552,29.0732
2023-01-23,25.8794,2.9377,0.7131,12.0154
2023-01-24,25.7061,3.3075,0.6571,7.3063
2023-01-25,24.8867,2.4424,0.8726,13.4172
2023-01-26,26.0818,1.7737,-0.7034,7.6968
2023-01-27,25.6106,1.4622,-0.8976,14.7615
2023-01-28,25.2018,0.9562,-0.4028,23.9872
2023-01-29,24.7601,1.537,0.0629,30.4187
2023-01-30,25.9401,1.2936,-0.7009,13.2418
2023-01-31,26.3026,1.7471,-0.8551,12.4374
2023-02-01,25.7726,1.2883,-0.6606,14.8957
2023-02-02,25.0122,0.9951,-0.7483,11.5165
2023-02-03,25.3016,1.0958,-0.4848,9.594
2023-02-04,25.5127,1.266,-0.3774,3.0365
2023-02-05,26.0079,2.5149,0.637,5.1366
2023-02-06,26.6154,1.9303,-0.1083,2.8146
2023-02-07,25.2727,0.9437,-0.4653,29.6022
2023-02-08,25.5247,1.392,0.5905,18.5
2023-02-09,25.8108,2.5358,1.4708,7.7543
2023-02-10,25.6275,2.0881,0.2852,12.0593
2023-02-11,24.3811,1.1029,-0.383,31.1483
2023-02-12,24.038,2.0335,1.0753,61.0981
2023-02-13,25.597,2.0506,1.3467,23.2451
