tanggal,t2m_c,u10,v10,tp_mm
2024-01-01,26.8401,-0.4238,-0.3114,29.2251
2024-01-02,26.5325,-0.4573,0.0842,37.8588
2024-01-03,26.1339,1.0818,-0.2191,36.1937
2024-01-04,25.1693,1.0441,-0.0755,76.7401
2024-01-05,26.2199,0.1267,0.2804,54.484
2024-01-06,26.8285,0.1967,-0.0004,31.1455
2024-01-07,26.2282,0.2365,0.1534,38.521
2024-01-08,25.9236,0.4431,-0.0518,60.0303
2024-01-09,26.8266,0.342,0.3674,22.0813
2024-01-10,26.8785,0.9849,-0.141,26.3512
2024-01-11,26.3853,1.7857,0.2559,38.6675
2024-01-12,26.5938,2.2909,0.849,23.8435
2024-01-13,26.9235,1.8224,0.7035,6.1497
2024-01-14,26.8653,0.9886,-0.1097,12.2261
2024-01-15,27.1932,1.6527,-0.3912,8.8754
2024-01-16,27.3084,1.7323,0.303,9.2769
2024-01-17,26.4327,2.3237,0.1352,22.292
2024-01-18,26.2953,2.5018,0.8775,25.3679
2024-01-19,25.3275,2.7618,0.9433,39.0393
2024-01-20,26.5396,2.6784,0.7753,11.8511
2024-01-21,26.8224,2.8765,0.8011,9.7954
2024-01-22,27.0714,2.6963,0.9039,6.0883
2024-01-23,27.3911,2.5734,0.8861,0.8219
2024-01-24,27.2312,2.6285,0.2625,1.3413
2024-01-25,27.1275,1.5836,-0.4463,5.4495
2024-01-26,25.9032,1.0453,-0.6821,19.6855
2024-01-27,25.5725,1.136,-0.3189,52.3937
2024-01-28,25.955,1.2559,-0.4516,33.7618
2024-01-29,25.8861,1.0524,-0.3537,26.8498
2024-01-30,25.3867,1.1881,-0.3362,45.2019
2024-01-31,25.5051,0.687,-0.2368,55.4434
2024-02-01,26.178,1.5142,0.2866,55.6084
2024-02-02,26.403,2.1963,0.4419,43.2276
2024-02-03,25.4396,2.2627,-0.136,35.2387
2024-02-04,26.069,1.5652,-0.0365,17.679
2024-02-05,25.739,1.4431,-0.3381,20.3123
2024-02-06,25.5049,2.6395,0.4278,38.8971
2024-02-07,25.6521,1.3826,0.0367,19.4326
2024-02-08,26.2029,0.6161,0.3198,6.8853
2024-02-09,26.5705,0.2787,-0.4516,9.0699
2024-02-10,26.6492,1.3526,-0.5591,21.1562
2024-02-11,26.6091,1.2766,-0.4574,13.2278
2024-02-12,26.4229,1.3676,-0.77,9.6344
2024-02-13,26.7848,1.1857,-0.5362,11.7037
2024-02-14,26.1901,1.425,-0.1676,13.3264
2024-02-15,26.2865,0.6217,-0.3697,57.0288
2024-02-16,25.9086,1.1462,-0.4057,62.8942
2024-02-17,25.6935,0.8757,-0.1307,99.9164
2024-02-18,26.2791,0.0344,-0.038,45.2169
2024-02-19,26.9541,0.0038,0.0315,7.3659
2024-02-20,26.8319,0.3667,-0.022,11.3202
2024-02-21,27.0858,1.1686,-0.2335,28.5813
2024-02-22,27.7465,2.2169,-0.1378,17.1449
2024-02-23,27.8189,1.7661,-0.0373,2.8223
2024-02-24,26.3992,1.2471,-0.6105,21.1735
2024-02-25,25.7106,0.5779,-0.3515,43.6839
2024-02-26,26.4971,0.2642,-0.1049,26.8495
2024-02-27,26.7293,0.4198,-0.6356,25.3159
2024-02-28,25.8056,0.4572,-0.0762,50.7795
2024-02-29,25.9457,0.7109,0.1874,40.1456
2024-03-01,26.5604,0.8014,-0.2886,31.1631
2024-03-02,26.0653,1.1349,-0.2972,57.368
2024-03-03,25.8463,1.0819,0.0054,49.7696
2024-03-04,26.9959,1.8959,0.8435,22.8184
2024-03-05,26.752,1.9863,0.5576,28.3878
2024-03-06,27.233,2.0746,0.0475,26.8826
2024-03-07,26.7136,2.489,0.4345,36.212
2024-03-08,26.6493,3.0346,0.9292,23.1216
2024-03-09,25.0694,1.0414,0.5052,32.1893
2024-03-10,25.7104,1.0545,-0.3149,20.453
2024-03-11,25.6893,1.9256,-1.1929,26.549
2024-03-12,26.5042,1.8867,-0.3935,17.3433
2024-03-13,25.8366,2.32,-0.6905,31.2692
2024-03-14,25.789,1.7939,0.6705,31.3603
2024-03-15,26.1957,3.0327,0.7363,16.9903
2024-03-16,26.3796,3.1949,0.5662,12.4996
2024-03-17,26.2214,2.7109,0.4586,8.0167
2024-03-18,26.7736,2.7726,0.248,4.1122
2024-03-19,26.775,2.4636,0.8001,2.9279
2024-03-20,26.4016,2.5264,0.5221,0.8384
2024-03-21,25.7956,1.0835,-0.6358,7.8723
2024-03-22,26.5772,0.0399,0.1417,7.0962
2024-03-23,26.9398,-0.3937,0.3912,4.2185
2024-03-24,26.8532,-0.4048,0.2041,8.2447
2024-03-25,27.3109,-0.7174,-0.0062,9.0744
2024-03-26,27.0957,-0.4811,0.2375,5.441
2024-03-27,26.0899,0.1279,0.0011,53.5831
2024-03-28,26.6288,0.1925,0.1747,31.276
2024-03-29,26.8842,-0.6686,0.293,9.9857
2024-03-30,26.6848,-0.4593,-0.3124,20.706
2024-03-31,26.8056,0.0482,0.0918,22.2742
2024-04-01,26.5015,0.1231,-0.2607,20.1034
2024-04-02,26.6061,-0.2635,-0.1864,22.0877
2024-04-03,26.608,-0.335,0.3546,44.5372
2024-04-04,27.2044,0.4071,-0.1872,26.0068
2024-04-05,26.6955,-0.1007,0.139,37.5777
2024-04-06,27.3463,0.392,0.0744,29.2279
2024-04-07,27.2043,-0.2673,-0.1599,10.6731
2024-04-08,27.3082,0.6942,-0.0198,2.4665
2024-04-09,26.9247,0.0189,0.1196,16.1295
2024-04-10,26.9383,-0.2707,0.1605,18.282
2024-04-11,26.8012,-0.7333,-0.1972,22.7361
2024-04-12,26.7634,-0.3314,-0.3631,31.4513
2024-04-13,26.6007,-0.5527,-0.109,19.969
2024-04-14,26.8646,-0.9281,-0.0884,23.1534
2024-04-15,27.2267,-1.5123,0.221,11.7227
2024-04-16,26.8189,-0.8513,0.0082,9.1676
2024-04-17,27.1129,-0.2108,-0.2815,15.9147
2024-04-18,26.6443,-0.1334,0.0082,12.1191
2024-04-19,26.2771,-0.4761,0.1803,13.7769
2024-04-20,26.4272,-1.0812,-0.1396,25.6186
2024-04-21,26.7921,-0.2773,0.1518,35.3887
2024-04-22,27.264,-0.4406,-0.4734,17.9985
2024-04-23,26.6831,0.1529,-0.3097,25.3389
2024-04-24,26.9922,0.0876,0.2343,24.3315
2024-04-25,26.7516,-0.745,-0.2626,27.4874
2024-04-26,26.7908,-0.9384,0.3951,43.6522
2024-04-27,26.3995,-0.6814,0.3328,44.4189
2024-04-28,26.7627,-0.2453,0.4353,27.1722
2024-04-29,27.4206,-0.7355,0.1476,11.6791
2024-04-30,27.4823,-0.0221,-0.0134,6.3054
2024-05-01,27.3953,-0.3127,-0.1852,10.9294
2024-05-02,27.2414,0.0509,0.1816,9.8438
2024-05-03,27.2739,-0.0573,0.1084,9.7069
2024-05-04,27.423,0.1049,0.1911,6.1723
2024-05-05,27.1883,-0.1843,-0.1292,3.5884
2024-05-06,27.2082,-0.3011,0.4038,2.8007
2024-05-07,27.228,-0.5029,-0.0583,1.3931
2024-05-08,27.27,-0.5237,0.0772,1.1177
2024-05-09,27.0525,-1.0099,0.226,2.0834
2024-05-10,27.7011,-1.7126,-0.1819,1.8325
2024-05-11,27.2889,-0.4876,0.2088,7.8801
2024-05-12,27.9924,-1.6527,-0.296,4.2784
2024-05-13,27.2831,-0.4127,0.1246,6.4579
2024-05-14,26.5984,-0.6636,0.0776,12.4229
2024-05-15,27.3879,-1.1805,0.0506,5.4978
2024-05-16,27.3237,-0.4951,0.1637,5.5605
2024-05-17,27.6489,-0.69,0.09,2.9506
2024-05-18,27.3642,-0.2517,0.721,2.6746
2024-05-19,27.5555,-0.2584,0.4117,5.4837
2024-05-20,27.7027,-0.5727,0.0628,2.7923
2024-05-21,27.658,-0.3257,0.0471,1.3707
2024-05-22,27.2172,-0.0439,0.0109,14.6634
2024-05-23,26.6963,-0.7905,-0.1838,15.1778
2024-05-24,26.299,-1.0153,-0.076,26.2096
2024-05-25,25.2957,-0.9838,0.6347,106.3925
2024-05-26,27.2907,-1.0533,-0.0523,28.8746
2024-05-27,27.7502,-0.8712,-0.0478,1.3114
2024-05-28,27.1153,-0.7301,0.0111,2.7917
2024-05-29,27.2752,-0.9572,0.2813,2.0604
2024-05-30,27.263,-0.3604,-0.1251,1.5436
2024-05-31,27.3001,-0.5268,0.327,2.7489
2024-06-01,26.6659,-0.0775,-0.2745,10.7019
2024-06-02,26.7704,-0.3723,-0.0072,25.8671
2024-06-03,26.2602,-0.381,-0.1642,44.0223
2024-06-04,26.4562,-0.4819,0.0508,19.6375
2024-06-05,26.6902,0.07,-0.0092,4.0197
2024-06-06,26.8223,-0.9665,-0.0695,1.6128
2024-06-07,26.4283,-0.8303,0.1193,2.6432
2024-06-08,26.8284,-1.1356,0.0224,1.7576
2024-06-09,26.4821,-0.0656,0.1841,5.1032
2024-06-10,26.8806,-0.4266,-0.1,5.2328
2024-06-11,25.6836,-0.542,0.1644,26.2981
2024-06-12,25.8062,-1.1663,0.0769,24.126
2024-06-13,25.6207,-0.8406,0.0845,16.871
2024-06-14,26.5602,-0.4493,-0.0152,12.0436
2024-06-15,26.605,-0.3306,0.4822,14.4459
2024-06-16,26.3095,0.2382,-0.1744,13.4252
2024-06-17,26.7342,0.1082,-0.3169,5.8985
2024-06-18,25.6398,-0.4862,0.1081,5.3998
2024-06-19,26.7061,-1.796,0.1962,3.762
2024-06-20,26.2427,-0.8922,0.096,0.9708
2024-06-21,26.3247,-0.7582,0.2138,0.3158
2024-06-22,25.9368,0.1074,0.4582,3.3347
2024-06-23,25.9388,-0.2882,0.1877,1.3144
2024-06-24,26.3764,-0.3921,0.1911,1.9274
2024-06-25,25.9924,-1.049,0.1356,36.9234
2024-06-26,26.3852,-2.0305,0.1265,18.1878
2024-06-27,26.2299,-1.3466,-0.2119,6.9062
2024-06-28,26.2321,-0.6679,0.067,18.0446
2024-06-29,26.0183,0.0927,0.025,15.8762
2024-06-30,26.5056,-0.0954,0.2455,4.8433
2024-07-01,25.8723,-0.3089,0.0102,7.0592
2024-07-02,25.8026,-0.8819,0.5193,14.1185
2024-07-03,26.6204,-0.3609,0.3751,8.1119
2024-07-04,25.7119,-0.4658,-0.0965,13.471
2024-07-05,25.2247,-1.6239,-0.2196,23.5109
2024-07-06,24.6993,-2.3747,-0.3892,68.7144
2024-07-07,24.9598,-2.0109,0.5836,68.7491
2024-07-08,25.4828,-0.7073,0.2874,30.6261
2024-07-09,25.9303,-1.5815,0.344,77.0829
2024-07-10,25.8489,-0.2088,0.5376,5.9621
2024-07-11,25.8488,0.2219,-0.047,1.316
