tanggal,t2m_c,u10,v10,tp_mm
2022-01-01,26.6439,2.5544,0.6794,4.1986
2022-01-02,26.0193,2.4369,0.4331,3.6274
2022-01-03,26.2537,1.0286,0.6105,1.5523
2022-01-04,25.9911,0.1428,0.0485,1.3618
2022-01-05,26.2862,0.431,-0.4011,4.2122
2022-01-06,25.7189,0.8866,0.2628,25.1392
2022-01-07,26.1805,1.2708,0.7856,20.2724
2022-01-08,26.2864,0.9446,-0.0874,12.1769
2022-01-09,25.951,1.6405,-0.4874,13.2091
2022-01-10,25.7153,2.0366,-0.6434,24.2805
2022-01-11,25.2368,2.1931,-0.0213,37.293
2022-01-12,25.0284,1.2993,-0.2652,31.8588
2022-01-13,25.0346,0.8722,-0.6145,20.3206
2022-01-14,25.3778,0.9565,-0.3148,24.6694
2022-01-15,25.2993,1.1623,-0.4293,20.2367
2022-01-16,25.1387,0.8262,-0.1724,18.8442
2022-01-17,25.9618,1.832,-0.0482,21.383
2022-01-18,24.8727,1.8255,-0.8628,14.8011
2022-01-19,25.5275,1.7286,-0.4637,16.3433
2022-01-20,24.2961,2.1035,0.9337,19.5227
2022-01-21,25.3569,1.5645,-0.0875,18.493
2022-01-22,24.7487,1.4958,-0.0234,47.9337
2022-01-23,26.5797,2.0871,0.4002,13.7321
2022-01-24,26.4541,2.7242,0.6753,10.1602
2022-01-25,25.7522,2.0593,-0.0563,18.5235
2022-01-26,25.6653,1.6834,-0.1469,14.3359
2022-01-27,26.2445,1.2662,-0.5029,6.9408
2022-01-28,26.2822,1.2243,-0.4116,3.8663
2022-01-29,25.7052,0.476,-0.5238,6.1925
2022-01-30,26.0692,0.4774,-0.3259,15.9736
2022-01-31,25.7128,1.0181,-0.7518,11.9939
2022-02-01,26.0913,0.5992,-0.5964,5.4419
2022-02-02,25.6857,0.5049,-0.796,16.6067
2022-02-03,26.0829,0.4196,-0.8305,11.8543
2022-02-04,25.9263,0.8415,-0.3669,26.4032
2022-02-05,25.01,1.4664,-0.3918,39.9892
2022-02-06,25.5191,1.7134,-0.3631,26.6974
2022-02-07,25.4565,1.0309,-0.8266,14.1612
2022-02-08,25.2244,-0.1299,-0.3184,20.1035
2022-02-09,25.3345,1.8676,0.8321,21.0829
2022-02-10,25.4232,1.977,-0.1604,16.2698
2022-02-11,26.0583,1.4027,-0.8429,3.0074
2022-02-12,26.1937,1.0216,-1.1131,6.2918
2022-02-13,25.2436,0.2616,-0.1211,15.745
2022-02-14,25.9563,-0.015,0.8072,5.8877
2022-02-15,26.4314,-0.5403,0.0763,0.9374
2022-02-16,26.2784,-0.2877,0.0403,7.269
2022-02-17,25.1355,-0.5589,-0.5758,61.8138
2022-02-18,24.8037,-0.8065,0.3521,45.248
2022-02-19,25.6624,-0.0205,0.3532,25.4659
2022-02-20,25.6977,0.2523,-0.407,28.4353
2022-02-21,26.2437,1.0311,-0.009,13.3594
2022-02-22,26.0358,0.9126,-0.0356,10.2499
2022-02-23,26.3245,2.0797,-0.3187,8.6074
2022-02-24,25.7221,1.7758,0.4498,7.3876
2022-02-25,24.7168,2.1802,0.6995,14.0411
2022-02-26,24.149,1.832,0.9434,36.3302
2022-02-27,25.1284,2.5134,0.8136,34.866
2022-02-28,25.6861,2.4743,0.6096,27.3016
2022-03-01,25.7285,2.941,0.949,11.2999
2022-03-02,25.4401,3.072,0.9896,3.7192
2022-03-03,25.7888,2.1155,-0.3206,7.1719
2022-03-04,25.0068,0.9687,-0.2284,13.8165
2022-03-05,25.9416,1.5388,0.8721,24.4086
2022-03-06,25.7148,2.0542,0.8886,32.8412
2022-03-07,26.2254,1.4346,0.2762,22.0467
2022-03-08,26.1521,0.8903,0.4731,19.1167
2022-03-09,25.8953,0.1295,0.2263,24.7559
2022-03-10,26.1589,0.7535,-0.355,18.524
2022-03-11,25.4933,1.4721,0.4576,25.8172
2022-03-12,25.2675,2.3851,0.6594,37.7689
2022-03-13,25.763,0.5107,-0.5116,33.5981
2022-03-14,26.0914,0.3592,-0.1769,37.0997
2022-03-15,25.3057,0.2995,0.3409,58.5564
2022-03-16,26.0418,-0.9563,0.1229,24.9496
2022-03-17,26.6313,-0.1607,-0.1974,12.9072
2022-03-18,26.9605,1.4366,0.2058,13.0784
2022-03-19,26.8348,2.2302,1.2966,6.2456
2022-03-20,26.7843,1.9187,1.5132,6.3094
2022-03-21,27.0049,2.346,0.9489,4.6007
2022-03-22,26.5877,1.6226,0.4535,5.2604
2022-03-23,25.7858,1.1866,0.4325,15.8085
2022-03-24,26.3102,0.6012,-0.6895,9.0981
2022-03-25,26.5164,-0.1722,-0.018,8.0925
2022-03-26,26.0092,0.8321,0.0922,22.2416
2022-03-27,26.2915,1.3706,-0.072,11.5709
2022-03-28,25.9875,0.8174,-0.507,6.7079
2022-03-29,26.2379,1.0849,-0.2063,5.3365
2022-03-30,26.5433,0.5233,0.0106,2.8635
2022-03-31,26.2407,0.6472,0.1956,7.6779
2022-04-01,25.679,0.835,0.7961,13.3596
2022-04-02,26.0177,1.4713,0.6513,15.9006
2022-04-03,25.3899,1.5084,1.2634,34.4303
2022-04-04,26.106,0.8811,0.8119,16.655
2022-04-05,26.1294,0.1593,0.3553,16.1739
2022-04-06,25.6604,0.8355,0.3982,20.9929
2022-04-07,26.134,1.2051,0.5167,8.1
2022-04-08,26.256,1.5194,1.0818,7.3738
2022-04-09,26.2337,0.1817,0.2596,16.1128
2022-04-10,26.1887,-0.0252,0.3944,16.9284
2022-04-11,25.7592,-0.207,0.3717,30.4572
2022-04-12,25.6164,0.1908,0.3429,21.7607
2022-04-13,25.9593,0.2109,0.1347,6.5499
2022-04-14,26.3384,-0.4713,0.1334,5.2074
2022-04-15,26.7115,-0.4125,0.0699,5.2179
2022-04-16,26.731,-0.3643,0.2623,4.1875
2022-04-17,27.0756,-1.3752,-0.3651,3.5624
2022-04-18,26.758,-0.3239,0.4035,15.9022
2022-04-19,25.5009,0.7265,0.5229,57.5258
2022-04-20,25.5878,1.6169,0.2565,40.2349
2022-04-21,25.0387,0.5312,0.5962,19.9286
2022-04-22,24.827,-0.3282,0.1494,25.1
2022-04-23,26.2777,0.0534,-0.0032,19.1638
2022-04-24,26.3615,0.8635,-0.0197,12.3521
2022-04-25,26.9151,-0.0647,0.1521,16.2443
2022-04-26,27.2241,0.7615,-0.26,12.3334
2022-04-27,25.4939,0.3797,-0.2735,23.2996
2022-04-28,25.7068,1.9474,0.8258,31.02
2022-04-29,25.8633,1.6842,0.996,31.186
2022-04-30,25.5476,-0.2321,0.2876,44.2077
2022-05-01,25.8188,-0.3885,0.2066,18.5553
2022-05-02,25.6848,-0.0979,0.0084,22.4465
2022-05-03,26.3604,-0.2247,0.0918,10.1423
2022-05-04,26.2763,0.5885,0.0559,10.2873
2022-05-05,26.4999,-0.3187,0.363,6.5314
2022-05-06,26.815,-0.3628,-0.0036,3.6397
2022-05-07,26.9257,0.4639,0.1217,3.1565
2022-05-08,27.8841,0.6247,0.3114,2.7906
2022-05-09,27.2604,-1.44,-0.0063,10.1042
2022-05-10,27.4716,-0.5958,-0.2655,6.4388
2022-05-11,26.7145,-0.2821,0.1867,7.1576
2022-05-12,26.7124,1.2604,1.0524,13.9682
2022-05-13,27.2251,0.9575,-0.1453,8.259
2022-05-14,26.9062,-0.8644,0.2822,6.0172
2022-05-15,26.817,-0.1501,0.0917,14.1291
2022-05-16,26.2478,0.1178,0.4421,35.0068
2022-05-17,26.0257,-0.8359,-0.0455,25.5947
2022-05-18,25.7989,-0.0685,0.3134,14.4307
2022-05-19,25.9125,-0.1871,-0.0673,18.2806
2022-05-20,25.7155,-0.6768,0.0249,25.4444
2022-05-21,25.5228,-0.5377,0.4213,18.8788
2022-05-22,25.3936,-0.775,-0.0181,17.3237
2022-05-23,26.6333,-2.0219,-0.0155,5.7263
2022-05-24,26.2427,-1.3179,0.0446,13.5507
2022-05-25,25.6665,0.2352,-0.6817,38.5736
2022-05-26,25.4052,-0.4874,0.3159,25.625
2022-05-27,26.1461,-0.0358,0.2347,5.7033
2022-05-28,25.8385,0.0568,-0.1539,4.944
2022-05-29,26.2282,1.0197,0.0306,1.746
