tanggal,t2m_c,u10,v10,tp_mm
2020-01-01,24.7428,0.936,0.0415,76.8512
2020-01-02,25.5776,1.3996,0.1101,34.6603
2020-01-03,25.6842,2.4816,0.2699,31.4406
2020-01-04,25.5932,2.3911,-0.7219,35.4791
2020-01-05,25.9503,1.9547,-0.2512,25.8704
2020-01-06,25.5699,1.7168,-0.0071,39.9665
2020-01-07,26.0349,2.4769,-0.0462,30.9548
2020-01-08,25.7842,1.5052,-0.3362,31.9262
2020-01-09,25.0161,2.1492,0.1407,78.7154
2020-01-10,24.4387,1.9272,0.7548,83.5242
2020-01-11,25.031,2.5713,0.8086,25.7396
2020-01-12,26.2638,2.3929,-0.171,10.2068
2020-01-13,26.2082,2.235,-0.3989,7.1491
2020-01-14,26.3572,1.3865,-1.1281,6.6374
2020-01-15,26.1675,0.7373,-0.0128,10.7603
2020-01-16,25.9084,0.7701,-0.4758,17.3115
2020-01-17,26.2256,0.5932,-0.3394,17.322
2020-01-18,26.2117,0.1335,-0.4515,19.9906
2020-01-19,26.442,0.3236,-0.1486,15.2645
2020-01-20,25.9246,0.9401,-0.5041,24.6046
2020-01-21,26.2774,0.0013,-0.6086,25.1686
2020-01-22,26.33,0.5827,-0.3261,19.2477
2020-01-23,26.8683,1.0138,-0.5016,19.7479
2020-01-24,26.0992,0.5911,-0.4872,39.5604
2020-01-25,24.7873,0.6788,-0.0901,248.2074
2020-01-26,25.6366,0.2938,-0.2584,134.9899
2020-01-27,25.6345,-0.0289,-0.2486,40.6217
2020-01-28,26.2021,0.1848,-0.233,28.301
2020-01-29,26.264,1.1407,-0.6484,25.5103
2020-01-30,26.5362,0.1781,-0.4598,44.5716
2020-01-31,25.9694,0.002,-0.7724,15.2523
2020-02-01,26.0259,0.4918,-0.5422,44.6744
2020-02-02,25.7824,-0.5636,-0.1374,25.3057
2020-02-03,25.8381,0.4229,-0.4511,19.2961
2020-02-04,25.8399,0.4317,-0.406,13.8539
2020-02-05,25.8712,0.8119,-0.3595,64.0568
2020-02-06,24.9158,1.2611,0.0112,85.7958
2020-02-07,25.0488,1.139,-0.4393,64.2283
2020-02-08,25.9139,1.0979,0.0375,57.5727
2020-02-09,24.9629,1.7476,0.995,27.9624
2020-02-10,26.2455,0.9737,-0.054,22.8305
2020-02-11,25.8694,-0.2045,-0.1143,28.5347
2020-02-12,26.138,-0.1977,-0.0598,40.4802
2020-02-13,25.665,0.2314,-0.6763,51.8294
2020-02-14,26.2454,0.212,-0.2984,29.5671
2020-02-15,25.9553,0.8702,-0.368,32.2679
2020-02-16,25.4208,1.351,0.3491,66.5172
2020-02-17,25.8291,1.2385,-0.1147,51.9427
2020-02-18,24.9361,1.6206,-0.2096,52.0714
2020-02-19,25.351,1.4507,-0.5063,37.6335
2020-02-20,25.7293,1.4722,-0.6445,20.2159
2020-02-21,26.0185,1.0878,-0.6068,21.3107
2020-02-22,26.4315,1.3323,-1.1502,12.7207
2020-02-23,26.371,0.9687,-1.1498,10.8379
2020-02-24,25.8488,0.8319,-0.8945,30.6511
2020-02-25,25.7661,1.1063,-0.2321,36.6322
2020-02-26,26.3286,0.5455,-0.578,19.0333
2020-02-27,26.5806,0.3201,-0.8125,18.5407
2020-02-28,26.4426,1.0588,-0.4944,27.9232
2020-02-29,25.843,1.1303,-0.4679,45.1747
2020-03-01,25.728,1.0028,-0.1601,43.8677
2020-03-02,26.7626,0.577,-0.529,12.9587
2020-03-03,26.6255,0.727,-0.3672,6.3274
2020-03-04,26.2816,1.804,0.3524,29.1617
2020-03-05,25.9791,1.4513,0.2586,36.8632
2020-03-06,26.7662,1.5106,-0.2792,6.0994
2020-03-07,25.9404,1.5482,-0.2546,13.7861
2020-03-08,25.8596,1.4436,0.0135,30.1809
2020-03-09,26.8788,2.4144,1.4034,13.2341
2020-03-10,26.6245,1.7491,0.21,12.947
2020-03-11,26.4539,0.9687,-0.4853,19.3441
2020-03-12,25.7765,0.3131,-0.5211,37.919
2020-03-13,26.6794,0.3261,-0.0607,18.0519
2020-03-14,26.5498,-0.5075,-0.0852,14.7338
2020-03-15,26.2632,-0.6567,-0.0159,33.1286
2020-03-16,26.2933,-0.1624,0.2215,34.6325
2020-03-17,26.0543,-0.4365,-0.0981,29.4516
2020-03-18,25.4151,-0.5478,-0.1885,103.1804
2020-03-19,25.066,0.1811,-0.3066,111.2494
2020-03-20,25.0765,0.0537,0.1332,80.3298
2020-03-21,25.7513,-0.8577,-0.4649,37.0114
2020-03-22,25.5032,-0.5185,-0.4507,19.9036
2020-03-23,26.3032,0.0211,0.2062,6.6601
2020-03-24,25.9339,0.2135,-0.3257,20.978
2020-03-25,26.4448,0.2454,-0.0846,19.0833
2020-03-26,26.1392,-0.6056,-0.0781,48.4952
2020-03-27,25.9328,0.1797,-0.2568,49.6751
2020-03-28,26.3372,0.8562,-0.1619,17.6189
