tanggal,t2m_c,u10,v10,tp_mm
2025-01-01,25.7379,2.2033,-0.0029,18.0959
2025-01-02,26.6947,1.2384,-0.2313,10.1696
2025-01-03,26.4272,1.2452,-0.1243,7.3791
2025-01-04,26.7343,1.8753,0.8102,10.8501
2025-01-05,26.6877,1.7847,0.0547,20.1859
2025-01-06,26.5819,1.8371,0.0103,20.4079
2025-01-07,25.7681,2.3262,-0.6661,32.2617
2025-01-08,26.2435,1.6449,-0.7805,28.3063
2025-01-09,25.5343,1.2599,-0.7286,115.9545
2025-01-10,26.3626,1.1062,-0.3308,23.2112
2025-01-11,26.1955,1.7386,-0.0861,7.1096
2025-01-12,26.2426,2.6144,1.0216,7.7294
2025-01-13,26.0461,2.1843,0.1768,21.0018
2025-01-14,25.8367,2.157,-0.1242,41.7913
2025-01-15,26.9138,2.016,-0.1091,21.2228
2025-01-16,26.1668,1.9881,-0.0805,13.3778
2025-01-17,25.6505,2.121,-0.4452,30.4493
2025-01-18,25.8809,2.1859,0.1133,42.6969
2025-01-19,26.3654,2.4364,-0.4025,9.6892
2025-01-20,24.9432,1.7212,0.1955,54.8188
2025-01-21,25.2061,1.01,-0.158,49.6768
2025-01-22,25.7556,1.5653,-0.2125,21.6179
2025-01-23,25.6505,1.0055,-0.0598,11.0391
2025-01-24,25.5562,1.2664,0.0105,23.8665
2025-01-25,25.4122,1.5856,0.1064,33.6416
2025-01-26,25.8502,2.2524,0.2173,45.8942
2025-01-27,25.9396,2.797,-0.5488,18.4324
2025-01-28,25.2905,1.9489,-0.6492,44.1632
2025-01-29,24.8007,2.4195,-1.198,45.4183
2025-01-30,25.4732,1.9097,-1.3435,13.3958
2025-01-31,26.0454,0.9611,-1.1271,5.1833
2025-02-01,25.6537,1.1174,-1.2694,9.2769
2025-02-02,26.0266,0.8982,-1.1064,11.3708
2025-02-03,26.359,1.1385,-1.131,8.1735
2025-02-04,26.4258,3.0506,0.0266,11.6686
2025-02-05,26.4388,2.802,-1.1215,18.7626
2025-02-06,25.5389,1.9234,-1.2368,23.4872
2025-02-07,25.7022,0.7792,-0.4992,15.0686
2025-02-08,25.6396,0.6905,-0.3607,13.8166
2025-02-09,25.3698,0.9904,-0.846,28.4213
2025-02-10,25.9487,0.7821,-0.828,17.9651
2025-02-11,26.4917,0.6484,-0.9951,8.6935
2025-02-12,26.8865,0.621,0.5951,2.4671
2025-02-13,27.0184,0.6599,0.929,3.4635
2025-02-14,25.8868,1.8433,-0.1851,13.7748
2025-02-15,26.0645,1.3578,-0.6744,18.2085
2025-02-16,25.5586,1.406,-0.285,44.0147
2025-02-17,25.2002,1.74,0.1196,29.7971
2025-02-18,24.5782,1.6572,0.0967,51.6888
2025-02-19,24.0901,0.7372,-0.1625,54.8699
2025-02-20,25.7699,0.7556,-0.125,21.2318
2025-02-21,25.8141,1.633,-0.4525,16.7388
2025-02-22,25.419,1.6816,-0.7084,23.2908
2025-02-23,25.1165,0.4858,-0.4498,29.7187
2025-02-24,25.7428,-0.1715,-0.1088,30.1319
2025-02-25,25.5146,0.3682,-0.0519,39.5655
2025-02-26,25.4721,0.5909,0.2156,22.8144
2025-02-27,25.7075,0.2986,-0.0686,24.2123
2025-02-28,25.6726,0.6937,0.2202,37.4618
2025-03-01,25.7901,0.315,-0.3148,28.5454
2025-03-02,26.2492,0.0543,-0.0878,20.1507
2025-03-03,25.9068,0.1521,-0.079,45.0711
2025-03-04,25.446,-1.3921,0.0439,66.2804
2025-03-05,26.4452,-1.0636,-0.3734,16.2359
2025-03-06,26.4496,1.515,0.4457,7.0072
2025-03-07,26.7132,0.629,0.6032,13.6475
2025-03-08,26.2042,0.2889,0.1927,43.1764
2025-03-09,25.3302,-0.6808,-0.3414,43.2846
2025-03-10,26.1298,-0.5509,-0.5541,12.8172
2025-03-11,25.6494,0.1452,-0.2146,31.7852
2025-03-12,26.6279,1.3297,-0.6917,19.6858
2025-03-13,26.7197,1.1633,0.16,12.5122
2025-03-14,26.0427,1.768,0.2306,28.1848
2025-03-15,25.4153,2.1744,0.1211,64.1997
2025-03-16,25.9523,1.7615,0.5122,30.8978
2025-03-17,25.1218,1.7229,-1.3795,62.0444
2025-03-18,25.9332,1.6228,-0.3823,42.8537
2025-03-19,25.868,1.6558,0.3807,13.0522
2025-03-20,26.4792,2.0036,-0.6558,4.6647
2025-03-21,26.3684,1.643,-0.3493,2.9675
2025-03-22,26.2748,1.6389,-0.438,8.6202
2025-03-23,26.2297,1.6016,-0.0622,6.4883
2025-03-24,26.5979,1.7314,-0.582,6.8861
2025-03-25,26.4269,1.5315,-1.2941,9.1584
2025-03-26,26.0382,0.7027,-0.4841,17.0045
2025-03-27,26.2596,0.535,-0.5384,14.2679
2025-03-28,26.1326,1.5661,0.8849,35.5667
2025-03-29,26.6881,2.7426,1.392,16.076
2025-03-30,26.6954,2.1053,0.5633,3.8716
2025-03-31,26.1829,1.9174,0.4616,5.3934
2025-04-01,25.5581,1.5724,0.4243,63.9801
2025-04-02,26.1227,1.408,0.0295,40.8887
2025-04-03,25.6042,0.8571,0.0735,31.8687
2025-04-04,26.0379,1.1429,0.1044,11.7373
2025-04-05,25.3869,0.7864,-0.1691,25.8455
2025-04-06,26.1253,0.0997,-0.0514,40.8711
2025-04-07,26.44,-0.0725,-0.1134,18.0567
2025-04-08,25.9558,-0.4784,0.1507,5.4638
2025-04-09,26.441,-1.0397,0.0942,12.0944
2025-04-10,26.5857,0.0947,-0.0821,11.4901
2025-04-11,26.413,-0.3127,-0.3536,15.849
2025-04-12,25.7708,0.1142,-0.4658,22.0072
2025-04-13,24.9796,0.7832,0.4939,43.1125
2025-04-14,26.4239,1.9297,0.8738,25.2666
2025-04-15,25.797,0.219,0.1288,36.39
2025-04-16,26.1659,-0.2227,0.1564,29.0138
2025-04-17,25.8868,0.1916,-0.123,27.1834
2025-04-18,26.4412,0.9145,-0.3647,21.1961
2025-04-19,26.7567,1.0088,-0.0655,17.6314
2025-04-20,26.2811,0.4452,-0.2172,23.5837
