tanggal,t2m_c,u10,v10,tp_mm
2019-01-01,25.0458,2.8454,0.791,12.4791
2019-01-02,25.9278,3.2558,0.4863,12.0268
2019-01-03,26.0279,2.5978,1.1317,4.2795
2019-01-04,26.4537,1.9133,0.1861,1.1359
2019-01-05,26.5841,1.0156,-0.1301,2.865
2019-01-06,26.3774,-0.6165,-0.2867,10.7035
2019-01-07,26.1742,-0.2307,-0.3874,15.8676
2019-01-08,26.2896,0.2402,-0.0199,35.5248
2019-01-09,26.1552,0.1354,-0.8026,30.2906
2019-01-10,26.2674,1.1335,-0.8396,20.1513
2019-01-11,26.4895,0.7612,-0.4274,21.4323
2019-01-12,26.1291,0.7682,-0.6708,28.8591
2019-01-13,25.641,0.9667,-0.333,46.8099
2019-01-14,24.6093,0.4837,0.0388,43.807
2019-01-15,25.8958,2.3826,0.5096,26.1525
2019-01-16,26.0403,2.6111,0.36,14.5629
2019-01-17,25.8952,2.624,0.8301,19.5962
2019-01-18,25.6656,2.4624,0.6478,27.1372
2019-01-19,25.8602,2.0668,0.1288,13.7737
2019-01-20,26.1569,1.2992,-0.4846,14.3186
2019-01-21,25.4542,1.7168,-0.3278,36.8655
2019-01-22,24.5027,1.5168,-0.2821,58.5492
2019-01-23,25.4753,1.5762,-0.7552,23.2061
2019-01-24,25.8459,1.9529,-0.4676,10.761
2019-01-25,25.1774,1.3335,-0.3955,22.7797
2019-01-26,25.965,1.6197,-1.1756,15.4253
2019-01-27,25.3541,2.3387,-0.5635,14.2363
2019-01-28,25.8174,2.0504,-0.5905,13.4216
2019-01-29,25.2751,1.2175,-0.4194,25.3142
2019-01-30,25.5088,1.4658,0.1938,35.5377
2019-01-31,25.891,1.3488,-0.5806,27.368
2019-02-01,25.4227,0.8866,-0.3823,36.4989
2019-02-02,25.4605,0.6867,-0.102,30.5769
2019-02-03,25.8338,1.1183,-0.2907,26.7358
2019-02-04,26.2644,1.8194,-0.6918,18.5124
2019-02-05,26.5394,2.3527,-0.1656,6.2221
2019-02-06,26.2362,1.6747,-0.6954,5.9311
2019-02-07,25.6559,1.413,-0.4917,23.1143
2019-02-08,25.4622,1.0544,-0.2942,25.6805
2019-02-09,25.6476,0.541,0.0335,23.3506
2019-02-10,25.5335,1.1331,-0.6444,37.3381
2019-02-11,25.3097,0.4399,-0.2078,65.9371
2019-02-12,25.502,0.5458,-0.9534,48.9885
2019-02-13,26.015,0.0544,-0.3491,15.5602
2019-02-14,26.0561,-0.0892,-0.6223,9.2686
2019-02-15,25.6689,0.2464,-0.5217,42.0888
2019-02-16,25.6321,0.4261,-0.1252,45.3947
2019-02-17,25.6003,0.4619,-0.4257,22.6404
2019-02-18,26.1306,-0.0758,-0.0316,12.2944
2019-02-19,26.0316,0.1286,-0.0903,18.3308
2019-02-20,25.7562,-0.6115,-0.1989,24.1094
2019-02-21,25.2966,-0.0559,-0.3165,63.7847
2019-02-22,25.1981,0.4401,0.3761,66.2259
2019-02-23,25.782,-0.0853,0.1476,42.5905
2019-02-24,25.5999,0.1722,-0.1666,32.7003
2019-02-25,26.387,-0.3551,-0.1983,15.6863
2019-02-26,26.7127,-1.8887,-0.3698,8.0439
2019-02-27,26.2201,-0.8663,-1.1858,9.6245
2019-02-28,26.2745,-0.3996,-0.0552,13.5504
2019-03-01,25.7434,0.4533,-0.4928,40.1708
2019-03-02,25.7275,0.4477,-0.4291,32.6108
2019-03-03,26.0042,0.2281,-0.2827,17.4486
2019-03-04,26.2735,-0.6904,-0.3918,13.5211
2019-03-05,25.4714,0.8004,-0.581,28.6946
2019-03-06,24.9951,0.2711,0.6463,66.9581
2019-03-07,25.856,-0.3517,0.248,24.5456
2019-03-08,26.2383,-0.0612,-0.0025,13.5708
2019-03-09,26.5423,-0.2823,-0.1822,9.4563
2019-03-10,26.1596,0.8854,0.5117,13.4551
2019-03-11,25.4063,1.4084,0.3939,25.4448
2019-03-12,25.1785,0.5488,-0.0802,39.0032
2019-03-13,26.1299,-1.038,-0.1596,20.9158
2019-03-14,26.6096,0.5757,-0.394,5.2357
2019-03-15,26.1422,1.6699,0.5348,28.178
2019-03-16,25.3626,1.3337,0.6067,38.9808
2019-03-17,25.6951,1.8015,0.0562,22.2737
2019-03-18,25.3331,2.141,0.7754,23.8798
2019-03-19,25.6483,2.4267,0.6003,23.0478
2019-03-20,25.7022,2.3027,0.2549,16.1044
2019-03-21,25.7753,1.7155,-0.3062,15.3068
2019-03-22,26.1515,2.0632,0.1035,20.1318
2019-03-23,26.612,2.9528,0.6866,9.4444
2019-03-24,26.1996,2.2674,0.5234,13.6613
2019-03-25,25.5039,1.5726,0.39,27.9375
2019-03-26,25.3188,0.5603,-0.0856,33.5805
2019-03-27,25.7604,0.3684,-0.3985,47.576
2019-03-28,26.0086,0.7042,0.1475,51.6385
2019-03-29,26.2563,-0.0176,0.0348,24.147
2019-03-30,26.6692,0.1309,-0.607,13.2597
2019-03-31,26.0206,-0.0615,0.1354,36.6278
2019-04-01,25.9196,0.0953,-0.002,62.3943
