tanggal,chirps_mm
2024-01-01,2.8582258224487305
2024-01-02,0.0
2024-01-03,2.8582258224487305
2024-01-04,2.8582258224487305
2024-01-05,5.716451644897461
2024-01-06,14.47373104095459
2024-01-07,0.0
2024-01-08,7.236865520477295
2024-01-09,28.94746208190918
2024-01-10,7.236865520477295
2024-01-11,14.086743354797363
2024-01-12,9.391161918640137
2024-01-13,9.391161918640137
2024-01-14,14.086743354797363
2024-01-15,0.0
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0
2024-01-19,0.0
2024-01-20,16.63764190673828
2024-01-21,0.0
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,10.353870391845703
2024-01-25,20.707740783691406
2024-01-26,0.0
2024-01-27,0.0
2024-01-28,17.810932159423828
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,8.905466079711914
2024-02-01,6.000512599945068
2024-02-02,0.0
2024-02-03,0.0
2024-02-04,18.001537322998047
2024-02-05,6.000512599945068
2024-02-06,6.24125862121582
2024-02-07,0.0
2024-02-08,12.48251724243164
2024-02-09,0.0
2024-02-10,6.24125862121582
2024-02-11,6.7962775230407715
2024-02-12,6.7962775230407715
2024-02-13,13.592555046081543
2024-02-14,0.0
2024-02-15,6.7962775230407715
