tanggal,chirps_mm
2024-01-01,0.0
2024-01-02,13.413933753967285
2024-01-03,13.413933753967285
2024-01-04,31.299179077148438
2024-01-05,4.471311092376709
2024-01-06,11.375438690185547
2024-01-07,22.750877380371094
2024-01-08,22.750877380371094
2024-01-09,11.375438690185547
2024-01-10,5.687719345092773
2024-01-11,13.719560623168945
2024-01-12,4.573186874389648
2024-01-13,0.0
2024-01-14,4.573186874389648
2024-01-15,13.719560623168945
2024-01-16,0.0
2024-01-17,18.55958366394043
2024-01-18,11.135750770568848
2024-01-19,11.135750770568848
2024-01-20,0.0
2024-01-21,4.821274280548096
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,0.0
2024-01-25,9.642548561096191
2024-01-26,18.972217559814453
2024-01-27,18.972217559814453
2024-01-28,18.972217559814453
2024-01-29,28.45832633972168
2024-01-30,18.972217559814453
2024-01-31,9.486108779907227
2024-02-01,13.191752433776855
2024-02-02,13.191752433776855
2024-02-03,0.0
2024-02-04,13.191752433776855
2024-02-05,13.191752433776855
2024-02-06,19.04878807067871
2024-02-07,3.8097574710845947
2024-02-08,0.0
2024-02-09,7.6195149421691895
2024-02-10,11.429272651672363
2024-02-11,7.126731872558594
2024-02-12,7.126731872558594
2024-02-13,14.253463745117188
2024-02-14,21.38019561767578
2024-02-15,14.253463745117188
