tanggal,seas,anom,total
2009-09-01,AMJ,0.03,27.91
2009-11-01,NDJ,-0.79,25.87
2009-11-01,MJJ,0.34,28.03
2010-01-01,JJA,0.5,27.82
2010-01-01,DJF,1.47,28.15
2010-03-01,JAS,0.56,27.55
2010-03-01,JFM,1.21,28.11
2010-05-01,ASO,0.66,27.46
2010-05-01,FMA,0.88,28.22
2010-07-01,MAM,0.38,28.11
2010-07-01,SON,0.92,27.68
2010-09-01,OND,1.31,28.02
2010-09-01,AMJ,-0.16,27.72
2010-11-01,MJJ,-0.66,27.03
2010-11-01,NDJ,1.5,28.16
2011-01-01,JJA,-0.98,26.34
2011-01-01,DJF,-1.29,25.28
2011-03-01,JAS,-1.24,25.74
2011-03-01,JFM,-1.06,25.72
2011-05-01,ASO,-1.43,25.37
2011-05-01,FMA,-0.85,26.37
2011-07-01,MAM,-0.68,26.95
2011-07-01,SON,-1.54,25.21
2011-09-01,OND,-1.57,25.14
2011-09-01,AMJ,-0.5,27.29
2011-11-01,NDJ,-1.48,25.14
2011-11-01,MJJ,-0.34,27.29
2012-01-01,DJF,-0.71,25.84
2012-01-01,JJA,-0.37,26.92
2012-03-01,JAS,-0.5,26.45
2012-03-01,JFM,-0.56,26.22
2012-05-01,ASO,-0.76,26.0
2012-05-01,FMA,-0.44,26.79
2012-07-01,MAM,-0.35,27.29
2012-07-01,SON,-0.94,25.77
2012-09-01,OND,-1.02,25.63
2012-09-01,AMJ,-0.18,27.62
2012-11-01,MJJ,0.03,27.66
2012-11-01,NDJ,-0.92,25.64
2013-01-01,JJA,0.28,27.57
2013-01-01,DJF,-0.24,26.3
2013-03-01,JFM,-0.28,26.5
2013-03-01,JAS,0.39,27.35
2013-05-01,ASO,0.37,27.13
2013-05-01,FMA,-0.23,27.0
2013-07-01,MAM,-0.2,27.43
2013-07-01,SON,0.28,26.99
2013-09-01,OND,0.13,26.78
2013-09-01,AMJ,-0.3,27.49
2013-11-01,MJJ,-0.38,27.24
2013-11-01,NDJ,-0.03,26.53
2014-01-01,JJA,-0.45,26.84
2014-01-01,DJF,-0.24,26.31
2014-03-01,JFM,-0.21,26.57
2014-03-01,JAS,-0.34,26.61
2014-05-01,ASO,-0.32,26.45
2014-05-01,FMA,-0.02,27.21
2014-07-01,MAM,0.25,27.88
2014-07-01,SON,-0.14,26.57
2014-09-01,OND,-0.12,26.53
2014-09-01,AMJ,0.35,28.14
2014-11-01,MJJ,0.22,27.84
2014-11-01,NDJ,-0.11,26.45
2015-01-01,JJA,0.07,27.36
2015-01-01,DJF,0.73,27.28
2015-03-01,JAS,0.07,27.03
2015-03-01,JFM,0.65,27.43
2015-05-01,ASO,0.24,27.0
2015-05-01,FMA,0.72,27.95
2015-07-01,MAM,0.86,28.49
2015-07-01,SON,0.51,27.22
2015-09-01,OND,0.7,27.35
2015-09-01,AMJ,1.04,28.83
2015-11-01,MJJ,1.19,28.82
2015-11-01,NDJ,0.8,27.36
2016-01-01,DJF,2.5,29.05
2016-01-01,JJA,1.44,28.73
2016-03-01,JAS,1.73,28.69
2016-03-01,JFM,2.21,28.99
2016-05-01,ASO,2.02,28.79
2016-05-01,FMA,1.69,28.92
2016-07-01,SON,2.28,28.99
2016-07-01,MAM,1.11,28.74
2016-09-01,AMJ,0.57,28.37
2016-09-01,OND,2.45,29.1
2016-11-01,NDJ,2.59,29.15
2016-11-01,MJJ,0.09,27.72
2017-01-01,JJA,-0.19,27.1
2017-01-01,DJF,-0.08,26.47
2017-03-01,JAS,-0.34,26.62
2017-03-01,JFM,0.08,26.86
2017-05-01,ASO,-0.42,26.34
2017-05-01,FMA,0.27,27.5
2017-07-01,MAM,0.32,27.95
2017-07-01,SON,-0.51,26.2
2017-09-01,OND,-0.49,26.16
2017-09-01,AMJ,0.35,28.15
2017-11-01,NDJ,-0.37,26.19
2017-11-01,MJJ,0.32,27.94
2018-01-01,JJA,0.14,27.43
2018-01-01,DJF,-0.71,25.83
2018-03-01,JAS,-0.07,26.89
2018-03-01,JFM,-0.67,26.11
2018-05-01,ASO,-0.23,26.54
2018-05-01,FMA,-0.55,26.68
2018-07-01,SON,-0.44,26.27
2018-07-01,MAM,-0.35,27.28
2018-09-01,AMJ,-0.07,27.72
2018-09-01,OND,-0.61,26.04
2018-11-01,MJJ,0.13,27.76
2018-11-01,NDJ,-0.76,25.8
2019-01-01,DJF,0.99,27.54
2019-01-01,JJA,0.2,27.49
2019-03-01,JFM,0.94,27.72
2019-03-01,JAS,0.3,27.25
2019-05-01,ASO,0.52,27.28
2019-05-01,FMA,0.87,28.1
2019-07-01,SON,0.82,27.53
2019-07-01,MAM,0.82,28.45
2019-09-01,OND,1.04,27.69
2019-09-01,AMJ,0.71,28.5
2019-11-01,NDJ,1.05,27.61
2019-11-01,MJJ,0.59,28.21
2020-01-01,JJA,0.38,27.67
2020-01-01,DJF,0.71,27.25
2020-03-01,JFM,0.66,27.44
2020-03-01,JAS,0.2,27.16
2020-05-01,FMA,0.57,27.8
2020-05-01,ASO,0.31,27.07
2020-07-01,SON,0.51,27.22
2020-07-01,MAM,0.33,27.97
2020-09-01,OND,0.72,27.37
2020-09-01,AMJ,0.04,27.83
2020-11-01,NDJ,0.75,27.31
2020-11-01,MJJ,-0.18,27.45
2021-01-01,JJA,-0.29,27.0
2021-01-01,DJF,-0.99,25.55
2021-03-01,JFM,-0.85,25.92
2021-03-01,JAS,-0.43,26.52
2021-05-01,ASO,-0.77,25.99
2021-05-01,FMA,-0.74,26.48
2021-07-01,SON,-1.0,25.71
2021-07-01,MAM,-0.56,27.07
2021-09-01,OND,-1.11,25.54
2021-09-01,AMJ,-0.4,27.39
2021-11-01,MJJ,-0.31,27.31
2021-11-01,NDJ,-1.06,25.5
2022-01-01,JJA,-0.35,26.95
2022-01-01,DJF,-0.76,25.79
2022-03-01,JAS,-0.46,26.49
2022-03-01,JFM,-0.68,26.09
2022-05-01,ASO,-0.64,26.13
2022-05-01,FMA,-0.77,26.46
2022-07-01,SON,-0.77,25.94
2022-07-01,MAM,-0.86,26.77
2022-09-01,AMJ,-0.83,26.96
2022-09-01,OND,-0.91,25.74
2022-11-01,NDJ,-0.83,25.73
2022-11-01,MJJ,-0.73,26.9
2023-01-01,JJA,-0.7,26.59
2023-01-01,DJF,-0.55,26.0
2023-03-01,JFM,-0.33,26.45
2023-03-01,JAS,-0.78,26.18
2023-05-01,FMA,-0.11,27.12
2023-05-01,ASO,-0.87,25.89
2023-07-01,SON,-0.89,25.82
2023-07-01,MAM,0.19,27.82
2023-09-01,OND,-0.82,25.83
2023-09-01,AMJ,0.46,28.25
2023-11-01,NDJ,-0.7,25.86
2023-11-01,MJJ,0.73,28.36
2024-01-01,DJF,1.84,28.38
2024-01-01,JJA,1.0,28.29
2024-03-01,JAS,1.25,28.21
2024-03-01,JFM,1.53,28.3
2024-05-01,FMA,1.18,28.4
2024-05-01,ASO,1.5,28.26
2024-07-01,MAM,0.77,28.4
2024-07-01,SON,1.74,28.45
2024-09-01,OND,1.9,28.55
2024-09-01,AMJ,0.43,28.23
2024-11-01,MJJ,0.18,27.8
2024-11-01,NDJ,1.99,28.55
2025-01-01,JJA,0.06,27.35
2025-01-01,DJF,-0.46,26.09
2025-03-01,JAS,-0.04,26.92
2025-03-01,JFM,-0.22,26.56
2025-05-01,ASO,-0.12,26.64
2025-05-01,FMA,-0.08,27.15
2025-07-01,SON,-0.19,26.52
2025-07-01,MAM,0.02,27.65
2025-09-01,AMJ,-0.04,27.76
2025-09-01,OND,-0.29,26.35
2025-11-01,MJJ,-0.02,27.61
2025-11-01,NDJ,-0.43,26.13
2026-01-01,JJA,-0.11,27.18
2026-01-01,DJF,-0.39,26.15
2026-03-01,JAS,-0.26,26.7
2026-03-01,JFM,-0.21,26.57
2026-05-01,FMA,0.11,27.34
2026-05-01,ASO,-0.43,26.33
2026-07-01,SON,-0.57,26.14
2026-07-01,MAM,0.46,28.09
2026-09-01,OND,-0.61,26.04
2026-09-01,AMJ,0.95,28.74
2026-11-01,MJJ,1.39,29.02
2026-11-01,NDJ,-0.6,25.96
2027-01-01,JJA,1.8,29.09
