tanggal,seas,anom,total
1964-01-01,JJA,0.76,27.61
1964-01-01,DJF,0.95,27.26
1964-03-01,JFM,0.52,27.09
1964-03-01,JAS,1.09,27.61
1964-05-01,ASO,1.09,27.42
1964-05-01,FMA,0.06,27.04
1964-07-01,MAM,-0.35,26.93
1964-07-01,SON,1.13,27.37
1964-09-01,OND,1.19,27.39
1964-09-01,AMJ,-0.6,26.8
1964-11-01,NDJ,1.13,27.33
1964-11-01,MJJ,-0.66,26.53
1965-01-01,DJF,-0.51,25.8
1965-01-01,JJA,-0.67,26.19
1965-03-01,JAS,-0.7,25.82
1965-03-01,JFM,-0.25,26.32
1965-05-01,FMA,-0.04,26.93
1965-05-01,ASO,-0.72,25.6
1965-07-01,SON,-0.8,25.44
1965-07-01,MAM,0.16,27.45
1965-09-01,OND,-0.79,25.41
1965-09-01,AMJ,0.47,27.86
1965-11-01,NDJ,-0.75,25.45
1965-11-01,MJJ,0.79,27.98
1966-01-01,JJA,1.1,27.95
1966-01-01,DJF,1.24,27.61
1966-03-01,JAS,1.27,27.79
1966-03-01,JFM,0.95,27.6
1966-05-01,ASO,1.55,27.87
1966-05-01,FMA,0.76,27.79
1966-07-01,SON,1.7,27.93
1966-07-01,MAM,0.43,27.77
1966-09-01,AMJ,0.24,27.68
1966-09-01,OND,1.82,28.02
1966-11-01,MJJ,0.18,27.44
1966-11-01,NDJ,1.6,27.83
1967-01-01,JJA,0.25,27.18
1967-01-01,DJF,-0.46,25.97
1967-03-01,JFM,-0.48,26.18
1967-03-01,JAS,0.13,26.73
1967-05-01,FMA,-0.5,26.53
1967-05-01,ASO,-0.09,26.34
1967-07-01,SON,-0.12,26.27
1967-07-01,MAM,-0.37,26.97
1967-09-01,OND,-0.23,26.17
1967-09-01,AMJ,-0.15,27.3
1967-11-01,NDJ,-0.35,26.02
1967-11-01,MJJ,0.05,27.31
1968-01-01,JJA,-0.02,26.92
1968-01-01,DJF,-0.62,25.81
1968-03-01,JFM,-0.73,25.92
1968-03-01,JAS,-0.26,26.33
1968-05-01,FMA,-0.63,26.41
1968-05-01,ASO,-0.4,26.03
1968-07-01,SON,-0.4,25.99
1968-07-01,MAM,-0.48,26.85
1968-09-01,OND,-0.36,26.03
1968-09-01,AMJ,-0.1,27.35
1968-11-01,NDJ,-0.42,25.95
1968-11-01,MJJ,0.17,27.43
1969-01-01,DJF,0.98,27.42
1969-01-01,JJA,0.44,27.37
1969-03-01,JFM,0.98,27.63
1969-03-01,JAS,0.38,26.97
1969-05-01,ASO,0.34,26.78
1969-05-01,FMA,0.77,27.8
1969-07-01,SON,0.5,26.9
1969-07-01,MAM,0.69,28.02
1969-09-01,OND,0.66,27.06
1969-09-01,AMJ,0.62,28.06
1969-11-01,MJJ,0.48,27.74
1969-11-01,NDJ,0.93,27.3
1970-01-01,JJA,0.37,27.3
1970-01-01,DJF,0.46,26.89
1970-03-01,JAS,0.41,27.0
1970-03-01,JFM,0.23,26.89
1970-05-01,ASO,0.61,27.04
1970-05-01,FMA,0.23,27.27
1970-07-01,SON,0.71,27.11
1970-07-01,MAM,0.28,27.61
1970-09-01,OND,0.81,27.21
1970-09-01,AMJ,0.11,27.56
1970-11-01,NDJ,0.71,27.08
1970-11-01,MJJ,-0.26,27.0
1971-01-01,JJA,-0.55,26.38
1971-01-01,DJF,-1.29,25.17
1971-03-01,JFM,-1.36,25.34
1971-03-01,JAS,-0.72,25.88
1971-05-01,ASO,-0.69,25.74
1971-05-01,FMA,-1.08,25.97
1971-07-01,MAM,-0.81,26.55
1971-07-01,SON,-0.72,25.67
1971-09-01,OND,-0.78,25.61
1971-09-01,AMJ,-0.72,26.76
1971-11-01,NDJ,-1.1,25.29
1971-11-01,MJJ,-0.69,26.62
1972-01-01,JJA,-0.68,26.3
1972-01-01,DJF,-0.57,25.92
1972-03-01,JFM,-0.27,26.42
1972-03-01,JAS,-0.6,26.05
1972-05-01,ASO,-0.68,25.81
1972-05-01,FMA,0.04,27.09
1972-07-01,MAM,0.25,27.61
1972-07-01,SON,-0.78,25.68
1972-09-01,OND,-0.86,25.59
1972-09-01,AMJ,0.48,27.96
1972-11-01,NDJ,-0.78,25.65
1972-11-01,MJJ,0.7,28.0
1973-01-01,JJA,1.0,27.98
1973-01-01,DJF,1.55,28.03
1973-03-01,JAS,1.26,27.91
1973-03-01,JFM,1.13,27.82
1973-05-01,ASO,1.49,27.98
1973-05-01,FMA,0.56,27.61
1973-07-01,MAM,-0.03,27.33
1973-07-01,SON,1.69,28.14
1973-09-01,OND,1.84,28.3
1973-09-01,AMJ,-0.51,26.97
1973-11-01,MJJ,-0.8,26.51
1973-11-01,NDJ,1.77,28.2
1974-01-01,JJA,-0.99,25.99
1974-01-01,DJF,-1.87,24.61
1974-03-01,JFM,-1.59,25.1
1974-03-01,JAS,-1.11,25.54
1974-05-01,FMA,-1.24,25.82
1974-05-01,ASO,-1.26,25.23
1974-07-01,SON,-1.58,24.87
1974-07-01,MAM,-0.99,26.37
1974-09-01,OND,-1.89,24.57
1974-09-01,AMJ,-0.71,26.77
1974-11-01,NDJ,-2.04,24.39
1974-11-01,MJJ,-0.64,26.67
1975-01-01,DJF,-0.56,25.92
1975-01-01,JJA,-0.46,26.52
1975-03-01,JAS,-0.4,26.25
1975-03-01,JFM,-0.55,26.15
1975-05-01,ASO,-0.47,26.02
1975-05-01,FMA,-0.61,26.44
1975-07-01,SON,-0.69,25.76
1975-07-01,MAM,-0.66,26.7
1975-09-01,AMJ,-0.8,26.68
1975-09-01,OND,-0.88,25.57
1975-11-01,NDJ,-0.71,25.72
1975-11-01,MJJ,-0.92,26.39
1976-01-01,JJA,-1.08,25.9
1976-01-01,DJF,-1.49,24.98
1976-03-01,JAS,-1.12,25.54
1976-03-01,JFM,-1.11,25.55
1976-05-01,ASO,-1.29,25.2
1976-05-01,FMA,-0.65,26.37
1976-07-01,SON,-1.32,25.14
1976-07-01,MAM,-0.45,26.87
1976-09-01,AMJ,-0.23,27.21
1976-09-01,OND,-1.47,24.98
1976-11-01,MJJ,0.0,27.28
1976-11-01,NDJ,-1.58,24.84
1977-01-01,JJA,0.23,27.21
1977-01-01,DJF,0.71,27.19
1977-03-01,JAS,0.4,27.09
1977-03-01,JFM,0.66,27.33
1977-05-01,ASO,0.6,27.13
1977-05-01,FMA,0.33,27.35
1977-07-01,SON,0.79,27.28
1977-07-01,MAM,0.26,27.58
1977-09-01,OND,0.81,27.28
1977-09-01,AMJ,0.26,27.7
1977-11-01,NDJ,0.84,27.28
1977-11-01,MJJ,0.46,27.75
1978-01-01,DJF,0.71,27.18
1978-01-01,JJA,0.39,27.37
1978-03-01,JFM,0.52,27.19
1978-03-01,JAS,0.35,27.04
1978-05-01,ASO,0.45,26.97
1978-05-01,FMA,0.17,27.19
1978-07-01,SON,0.68,27.17
1978-07-01,MAM,-0.06,27.26
1978-09-01,OND,0.84,27.31
1978-09-01,AMJ,-0.28,27.17
1978-11-01,NDJ,0.82,27.25
1978-11-01,MJJ,-0.24,27.05
1979-01-01,JJA,-0.37,26.61
1979-01-01,DJF,0.19,26.67
1979-03-01,JFM,0.21,26.88
1979-03-01,JAS,-0.37,26.32
1979-05-01,FMA,0.29,27.31
1979-05-01,ASO,-0.44,26.08
1979-07-01,SON,-0.27,26.22
1979-07-01,MAM,0.32,27.64
1979-09-01,OND,-0.07,26.4
1979-09-01,AMJ,0.29,27.73
1979-11-01,NDJ,0.11,26.54
1979-11-01,MJJ,0.14,27.43
1980-01-01,JJA,0.09,27.07
1980-01-01,DJF,0.62,27.09
1980-03-01,JAS,0.22,26.91
1980-03-01,JFM,0.47,27.14
1980-05-01,ASO,0.34,26.86
1980-05-01,FMA,0.35,27.37
1980-07-01,MAM,0.34,27.67
1980-07-01,SON,0.47,26.96
1980-09-01,OND,0.5,26.97
1980-09-01,AMJ,0.45,27.9
1980-11-01,MJJ,0.4,27.68
1980-11-01,NDJ,0.64,27.07
1981-01-01,JJA,0.18,27.16
1981-01-01,DJF,-0.27,26.31
1981-03-01,JFM,-0.42,26.4
1981-03-01,JAS,-0.06,26.62
1981-05-01,ASO,-0.17,26.36
1981-05-01,FMA,-0.41,26.76
1981-07-01,SON,-0.07,26.42
1981-07-01,MAM,-0.27,27.21
1981-09-01,OND,0.08,26.55
1981-09-01,AMJ,-0.28,27.3
1981-11-01,NDJ,-0.05,26.44
1981-11-01,MJJ,-0.27,27.12
1982-01-01,DJF,-0.05,26.55
1982-01-01,JJA,-0.28,26.77
1982-03-01,JAS,-0.23,26.51
1982-03-01,JFM,0.02,26.83
1982-05-01,ASO,-0.08,26.49
1982-05-01,FMA,0.07,27.23
1982-07-01,SON,-0.16,26.38
1982-07-01,MAM,0.34,27.82
1982-09-01,OND,-0.19,26.34
1982-09-01,AMJ,0.65,28.23
1982-11-01,MJJ,0.73,28.12
1982-11-01,NDJ,-0.14,26.4
1983-01-01,JJA,0.78,27.82
1983-01-01,DJF,2.14,28.74
1983-03-01,JAS,0.99,27.72
1983-03-01,JFM,1.91,28.73
1983-05-01,ASO,1.45,28.02
1983-05-01,FMA,1.52,28.69
1983-07-01,SON,1.82,28.36
1983-07-01,MAM,1.23,28.7
1983-09-01,OND,2.03,28.56
1983-09-01,AMJ,0.95,28.53
1983-11-01,MJJ,0.62,28.01
1983-11-01,NDJ,2.12,28.66
1984-01-01,JJA,0.25,27.29
1984-01-01,DJF,-0.63,25.97
1984-03-01,JAS,-0.06,26.67
1984-03-01,JFM,-0.51,26.3
1984-05-01,ASO,-0.43,26.14
1984-05-01,FMA,-0.38,26.78
1984-07-01,SON,-0.76,25.78
1984-07-01,MAM,-0.47,27.0
1984-09-01,AMJ,-0.55,27.04
1984-09-01,OND,-0.96,25.56
1984-11-01,NDJ,-0.89,25.65
1984-11-01,MJJ,-0.52,26.87
1985-01-01,JJA,-0.39,26.65
1985-01-01,DJF,-1.01,25.59
1985-03-01,JFM,-0.86,25.95
1985-03-01,JAS,-0.22,26.51
1985-05-01,ASO,-0.32,26.25
1985-05-01,FMA,-0.85,26.31
1985-07-01,SON,-0.62,25.92
1985-07-01,MAM,-0.8,26.67
1985-09-01,OND,-0.95,25.57
1985-09-01,AMJ,-0.79,26.8
1985-11-01,MJJ,-0.6,26.79
1985-11-01,NDJ,-1.06,25.48
1986-01-01,JJA,-0.44,26.6
1986-01-01,DJF,-0.4,26.15
1986-03-01,JAS,-0.33,26.41
1986-03-01,JFM,-0.38,26.38
1986-05-01,FMA,-0.25,26.89
1986-05-01,ASO,-0.31,26.26
1986-07-01,SON,-0.3,26.24
1986-07-01,MAM,-0.17,27.31
1986-09-01,OND,-0.28,26.25
1986-09-01,AMJ,-0.09,27.5
1986-11-01,MJJ,0.02,27.42
1986-11-01,NDJ,-0.36,26.15
1987-01-01,JJA,0.24,27.29
1987-01-01,DJF,1.18,27.72
1987-03-01,JAS,0.46,27.22
