tanggal,t2m_c,u10,v10,tp_mm
2025-01-01,25.8439,0.9544,-0.9146,37.5265
2025-01-02,26.6069,0.2076,-0.4155,34.8893
2025-01-03,26.32,1.8685,-0.9253,13.3067
2025-01-04,26.3434,0.6744,-0.2499,5.4939
2025-01-05,26.3484,-0.0229,-0.9627,28.1642
2025-01-06,27.1341,-0.629,-0.7186,17.5504
2025-01-07,27.0591,-0.4402,0.5222,18.1862
2025-01-08,26.7077,0.0397,0.1657,24.3855
2025-01-09,25.8279,0.8946,-0.853,64.1984
2025-01-10,25.5542,1.3342,-2.0266,57.4835
2025-01-11,26.2435,0.3178,-1.8736,38.7579
2025-01-12,26.5657,1.2737,-1.6532,46.5696
2025-01-13,26.4422,1.0533,-1.7439,43.5079
2025-01-14,26.2344,1.6184,-1.2558,21.3664
2025-01-15,25.6343,2.2945,-1.5683,42.6807
2025-01-16,25.5428,2.0646,-2.6596,42.5559
2025-01-17,25.7988,1.4885,-3.1524,38.2352
2025-01-18,26.3153,1.0907,-3.394,39.5891
2025-01-19,26.2791,0.3732,-1.3348,28.172
2025-01-20,25.7915,1.1325,-0.6566,44.3359
2025-01-21,25.7013,1.0878,0.3115,32.8372
2025-01-22,25.7503,-0.5525,0.959,24.7719
2025-01-23,26.614,0.0491,-0.0944,27.3442
2025-01-24,26.1938,0.4609,-0.1762,27.7299
2025-01-25,26.264,1.4038,-0.4552,47.4392
2025-01-26,26.2585,1.1017,-0.2438,57.6885
2025-01-27,25.6786,1.9543,-1.2423,57.8318
2025-01-28,25.254,1.9446,-1.0093,67.5663
2025-01-29,25.8644,2.3213,-0.958,30.0523
2025-01-30,24.3578,2.0939,-1.414,61.8313
2025-01-31,24.755,3.3121,-2.4222,110.5757
2025-02-01,26.7805,2.1572,-2.6957,31.136
2025-02-02,27.1772,2.7919,-2.268,3.2204
2025-02-03,27.4322,2.8617,-1.68,3.2724
2025-02-04,26.601,2.8871,-0.7011,5.167
2025-02-05,26.4135,3.1512,-1.108,13.7679
2025-02-06,24.7822,3.6121,-0.8719,31.1718
2025-02-07,24.778,4.7057,-0.2678,78.6298
2025-02-08,24.9121,4.9076,-1.4925,51.4602
2025-02-09,25.4843,5.0078,-3.7995,41.9546
2025-02-10,26.032,3.1768,-4.9439,27.5648
2025-02-11,26.3783,2.2665,-4.6143,22.0044
2025-02-12,26.3928,1.5484,-3.7023,17.8774
2025-02-13,26.7767,1.169,-4.1224,7.9484
2025-02-14,27.2541,1.0868,-2.966,1.6971
2025-02-15,27.2388,0.8826,-1.1361,6.3194
2025-02-16,26.0401,0.0608,-0.3395,54.7628
2025-02-17,25.8511,1.5456,-0.437,58.3708
2025-02-18,24.9912,1.5168,1.2232,31.4259
2025-02-19,25.2059,2.7211,-1.1375,36.1296
