tanggal,t2m_c,u10,v10,tp_mm
2024-01-01,28.7079,-0.0464,0.1135,7.4622
2024-01-02,29.0919,-0.0479,-0.5318,5.3248
2024-01-03,28.2462,0.5889,-0.4868,10.5279
2024-01-04,28.2047,-0.7135,0.8297,12.9452
2024-01-05,28.0609,0.148,-0.0261,10.3431
2024-01-06,28.0443,1.1064,-0.5121,10.4184
2024-01-07,28.5316,1.9917,-0.5149,8.4412
2024-01-08,27.7646,2.2918,-1.1891,23.7678
2024-01-09,26.6845,2.3546,-1.5611,69.7197
2024-01-10,27.8877,2.9404,-1.5808,31.941
2024-01-11,27.88,3.9014,-1.6509,12.2535
2024-01-12,27.8734,4.3781,-1.8101,7.549
2024-01-13,27.49,3.9278,-1.2359,9.1115
2024-01-14,27.2011,4.6552,-2.0059,10.7413
2024-01-15,26.632,4.5579,-1.8013,24.1682
2024-01-16,26.7504,4.5675,-1.8104,19.1536
2024-01-17,27.3382,4.1468,-2.1563,9.3262
2024-01-18,27.4909,3.6636,-1.7144,3.9981
2024-01-19,27.3017,3.1753,-2.0761,12.9202
2024-01-20,27.5054,3.3064,-2.3173,8.3523
2024-01-21,27.2095,3.3388,-3.1316,4.8197
2024-01-22,27.7859,2.8485,-4.1467,1.8717
2024-01-23,27.384,2.426,-3.8806,24.7931
2024-01-24,26.7792,2.3032,-3.7852,35.0729
2024-01-25,26.218,3.0652,-3.3639,32.3194
2024-01-26,25.465,3.8229,-2.4262,27.0936
2024-01-27,26.2847,3.4089,-1.3234,14.9027
2024-01-28,26.3262,3.0572,-0.5299,13.4368
2024-01-29,26.5289,2.7236,0.3254,13.2934
2024-01-30,27.5485,3.0589,0.9033,6.1798
2024-01-31,27.5953,3.248,0.7372,6.2085
2024-02-01,26.1402,2.481,-0.4733,23.3238
2024-02-02,27.4355,3.3643,-0.6277,16.6226
2024-02-03,27.1437,2.5494,-1.9119,14.4628
2024-02-04,26.8091,2.1263,-2.0908,21.5036
2024-02-05,26.4642,2.5183,-1.8741,23.733
2024-02-06,26.22,2.5141,-1.1913,11.8761
2024-02-07,26.2509,2.6297,-1.221,7.8894
2024-02-08,25.6393,2.1581,-0.2143,40.1904
2024-02-09,26.5628,1.5068,-0.3622,30.4808
2024-02-10,26.7702,2.4776,-1.8028,16.0896
2024-02-11,26.6155,2.6244,-2.1889,19.8078
2024-02-12,26.7133,2.9144,-3.0072,15.1359
2024-02-13,25.808,2.5432,-2.2256,19.5934
2024-02-14,26.9775,2.7221,-1.4295,14.1913
2024-02-15,27.105,2.5558,-1.153,8.7291
2024-02-16,27.0759,2.3498,-1.2624,8.382
2024-02-17,27.5885,2.1951,-1.6746,6.4291
2024-02-18,27.3631,2.4942,-1.8665,5.8149
2024-02-19,27.9835,2.8559,-2.1774,4.0419
2024-02-20,27.5885,3.0964,-2.628,5.0315
2024-02-21,27.3725,2.3557,-3.9047,5.8975
2024-02-22,28.0663,0.7295,-3.5117,2.9541
2024-02-23,28.4983,1.1719,-1.949,1.3363
2024-02-24,27.65,2.4852,-0.7953,8.0258
2024-02-25,27.2602,2.5228,0.0231,10.411
2024-02-26,26.8184,2.737,-0.5623,13.9933
2024-02-27,26.7672,2.2887,-1.0405,14.2974
2024-02-28,27.2903,1.9883,-1.5361,13.3099
2024-02-29,27.3605,1.8774,-1.7766,12.6892
2024-03-01,27.3215,1.3917,-1.6046,40.2578
2024-03-02,27.398,1.0791,-1.3763,34.0842
2024-03-03,27.0029,1.1045,-0.897,51.7877
2024-03-04,26.5803,0.6058,-0.3472,40.2032
2024-03-05,26.5597,0.486,-0.4833,49.001
2024-03-06,26.7803,0.6525,-1.3204,53.4212
2024-03-07,26.7721,1.7981,-1.1577,37.673
2024-03-08,26.5171,1.6921,-1.6131,40.7727
2024-03-09,25.5513,1.796,-2.5448,55.231
2024-03-10,25.5211,2.891,-2.5641,100.4296
2024-03-11,25.4597,3.2151,-2.5176,90.9525
2024-03-12,25.4232,4.7081,0.2089,83.9501
2024-03-13,25.111,3.7917,-2.2808,124.6168
2024-03-14,25.7318,2.721,-3.2246,67.6378
2024-03-15,26.6282,1.953,-2.9812,21.8025
2024-03-16,26.6298,1.9778,-3.2692,11.476
2024-03-17,26.4492,3.1144,-1.9171,8.6055
2024-03-18,26.33,1.9324,-1.9372,25.8707
2024-03-19,26.85,2.5318,-1.2409,11.9567
2024-03-20,26.7517,2.3118,-0.9993,6.3203
2024-03-21,27.005,3.4008,-0.9655,6.8307
2024-03-22,26.153,2.7371,-1.5717,8.8629
2024-03-23,26.638,2.0735,-2.1351,6.9041
2024-03-24,27.1158,1.6144,-2.7722,3.3191
2024-03-25,25.9763,0.6752,-2.0291,39.2051
2024-03-26,26.4195,0.0338,-0.3562,35.7387
2024-03-27,26.7183,-0.5619,0.4017,33.3207
2024-03-28,26.4117,-0.4698,0.9305,36.5286
2024-03-29,26.6104,-1.0342,1.3504,23.7888
2024-03-30,27.2681,-1.6311,1.5157,9.1914
2024-03-31,27.6498,-0.7992,1.0897,9.9411
2024-04-01,27.1485,-0.7765,1.1986,15.2316
2024-04-02,26.8145,-1.2154,1.0983,14.8707
2024-04-03,25.6258,-1.2245,-0.0604,72.5584
2024-04-04,25.7997,-1.0384,-1.3051,69.8636
2024-04-05,26.3514,-0.9866,-1.1517,41.391
2024-04-06,27.0907,-0.2734,-1.3427,11.6331
2024-04-07,26.843,0.1477,-1.1501,16.2352
2024-04-08,26.3034,-0.2978,-0.7177,51.0276
2024-04-09,26.4209,-1.3394,0.0284,33.5126
2024-04-10,26.8048,-2.2763,0.9401,6.9889
2024-04-11,26.976,-3.1127,0.8319,0.0259
2024-04-12,26.5839,-2.8045,0.9958,2.1666
2024-04-13,26.4749,-2.3569,0.6886,0.8213
2024-04-14,25.9463,-3.494,1.2593,5.1848
2024-04-15,25.8143,-3.5202,0.4665,20.5805
2024-04-16,26.4147,-3.249,0.8635,10.7078
2024-04-17,27.1115,-3.6991,1.3785,1.6638
2024-04-18,25.9646,-3.5756,1.7242,11.4172
2024-04-19,25.0948,-3.0803,0.5787,38.8927
2024-04-20,26.4046,-4.5494,0.9439,12.8283
2024-04-21,26.8534,-3.9972,0.9633,2.4717
2024-04-22,26.6903,-3.4756,0.8579,0.6511
2024-04-23,26.5651,-3.1665,0.9312,0.6641
2024-04-24,26.903,-2.8238,0.8227,0.3791
2024-04-25,26.8226,-3.0981,0.5475,3.068
2024-04-26,26.8171,-4.1402,0.4746,2.0716
2024-04-27,26.951,-4.6746,0.6156,1.2315
2024-04-28,27.0834,-5.1867,1.745,0.7758
2024-04-29,26.9129,-4.4297,1.1897,0.1156
2024-04-30,26.8599,-4.3627,1.7089,1.2046
2024-05-01,26.7323,-4.1377,1.0518,1.6757
2024-05-02,26.9315,-5.2023,1.5669,1.6664
2024-05-03,26.9192,-4.6446,1.7179,0.7812
2024-05-04,26.3956,-3.2657,1.4275,3.1582
2024-05-05,26.4469,-2.919,1.4176,6.6844
2024-05-06,26.2891,-3.5337,0.7272,4.0476
2024-05-07,26.5184,-3.5855,1.3231,1.0905
2024-05-08,26.6867,-3.5243,1.426,0.4047
2024-05-09,26.5578,-3.6518,0.7326,0.7707
2024-05-10,26.5742,-3.8435,0.7954,0.2607
2024-05-11,26.3821,-3.7479,0.892,1.3334
2024-05-12,26.5678,-4.301,1.1152,1.4381
2024-05-13,26.6525,-4.0247,0.9318,0.3162
2024-05-14,26.7344,-3.7104,0.3781,1.4506
2024-05-15,27.0065,-3.9637,0.6121,0.6332
2024-05-16,26.8479,-4.2418,0.97,0.4017
2024-05-17,26.5218,-4.3989,1.0412,1.1613
2024-05-18,26.6478,-4.7985,1.3572,0.7085
2024-05-19,26.2115,-5.2251,1.2506,0.804
2024-05-20,26.1244,-5.3256,1.2295,0.4702
2024-05-21,26.1798,-5.2385,1.03,2.4792
2024-05-22,26.3327,-4.3924,0.6308,0.7299
2024-05-23,26.6558,-3.5415,0.3725,0.292
2024-05-24,27.0545,-4.0581,0.9649,0.5088
2024-05-25,26.6534,-4.0663,1.1639,0.8914
2024-05-26,26.538,-4.0744,1.1636,0.9063
2024-05-27,26.7274,-4.0114,1.0665,0.3965
2024-05-28,26.7903,-2.9473,0.2197,1.5855
2024-05-29,27.0778,-1.735,0.0321,4.0222
2024-05-30,26.6539,-0.9667,-0.2794,5.5645
2024-05-31,26.443,-3.1772,0.3048,11.2683
2024-06-01,26.6864,-4.8874,0.4716,6.799
2024-06-02,27.0398,-4.1623,0.5161,0.7577
2024-06-03,26.2578,-3.3378,1.1245,1.5888
2024-06-04,26.2039,-3.5663,1.5061,1.3567
2024-06-05,25.7461,-4.9826,2.0708,3.0223
2024-06-06,25.2324,-4.8608,1.6623,7.0011
2024-06-07,25.3134,-5.0371,1.8568,5.6759
2024-06-08,24.9254,-4.8623,1.45,2.6433
2024-06-09,25.1477,-4.052,1.1319,0.6428
2024-06-10,25.2318,-3.5687,0.7847,0.0902
2024-06-11,25.6872,-3.0354,0.7726,0.0026
2024-06-12,25.3815,-3.7132,1.2454,0.0682
2024-06-13,24.8216,-2.9396,0.7794,0.0219
2024-06-14,25.186,-2.9303,0.4073,0.0103
2024-06-15,25.9241,-3.0806,0.3116,0.3123
2024-06-16,25.9791,-4.4984,0.1987,0.1494
2024-06-17,25.7907,-4.4564,0.6596,0.0027
2024-06-18,25.3817,-4.1231,0.9591,0.0026
2024-06-19,24.9108,-3.6931,1.0021,0.0017
2024-06-20,25.3144,-3.7628,0.89,0.0426
2024-06-21,25.5757,-5.0195,1.2715,2.7652
2024-06-22,26.0531,-5.9226,1.3028,1.0491
2024-06-23,25.7823,-4.7942,1.4774,0.1422
2024-06-24,24.9941,-3.863,1.5953,1.2605
2024-06-25,25.5375,-3.3701,1.3591,0.7611
2024-06-26,26.09,-2.7056,0.805,0.177
2024-06-27,26.3168,-1.9801,0.3087,0.0095
2024-06-28,26.3511,-2.4382,0.9301,0.02
2024-06-29,26.2995,-3.9755,1.7262,0.9667
2024-06-30,26.0451,-3.6361,2.2073,3.0529
2024-07-01,26.5555,-4.2668,0.5956,0.8622
2024-07-02,26.5444,-5.4234,0.3666,0.5235
2024-07-03,25.855,-5.9309,1.6544,1.0588
2024-07-04,25.0987,-5.498,1.8899,1.1915
2024-07-05,24.9737,-4.9689,1.4517,0.1704
2024-07-06,25.4593,-4.4376,1.037,0.0332
2024-07-07,25.8819,-4.106,1.377,0.8765
2024-07-08,25.7535,-4.8248,1.5913,1.8749
2024-07-09,26.0412,-4.8174,0.8895,0.8576
2024-07-10,25.5616,-4.789,1.0705,0.4105
2024-07-11,25.3884,-4.1089,1.7247,0.1293
2024-07-12,24.9695,-3.2906,1.2307,0.0135
2024-07-13,24.5817,-3.3278,1.54,0.0009
2024-07-14,24.3357,-3.7763,0.8241,0.0017
2024-07-15,24.8008,-2.8372,0.7385,0.001
2024-07-16,25.1504,-4.1363,0.7583,0.1336
2024-07-17,24.9319,-5.3365,0.763,0.5654
2024-07-18,24.0428,-5.3068,0.932,0.215
2024-07-19,23.6321,-4.8926,1.0871,0.0051
2024-07-20,24.4372,-4.1283,1.1011,0.003
2024-07-21,25.3039,-4.9437,1.2864,0.3486
2024-07-22,24.9901,-4.775,0.8272,0.1249
2024-07-23,24.7957,-3.5233,0.5752,0.0009
2024-07-24,25.2093,-1.8854,0.3609,0.4161
2024-07-25,24.8598,-2.9067,1.5618,5.7397
2024-07-26,24.8054,-2.8361,1.1823,13.3192
2024-07-27,24.7342,-3.2407,1.1156,21.8223
2024-07-28,24.1961,-3.2791,0.2304,33.4298
2024-07-29,25.6198,-3.4629,0.0692,6.9259
2024-07-30,25.6243,-5.2278,0.4038,0.3625
2024-07-31,25.4296,-4.7163,0.2574,0.431
2024-08-01,25.2788,-4.0717,0.5017,0.0224
2024-08-02,25.0057,-3.5013,0.4416,0.0133
2024-08-03,24.7885,-2.6639,0.1116,0.0064
2024-08-04,24.897,-3.4348,0.9737,0.0084
2024-08-05,25.0388,-3.8013,0.7405,0.072
2024-08-06,25.4801,-4.3987,0.8652,0.3666
2024-08-07,25.6255,-4.345,0.7485,0.1128
2024-08-08,25.238,-4.626,1.1989,0.0247
2024-08-09,24.8802,-4.0804,1.3517,0.0066
2024-08-10,24.8027,-4.1364,1.4256,1e-04
2024-08-11,25.1946,-3.7748,0.42,0.0011
2024-08-12,25.3203,-4.4629,1.2027,0.0154
2024-08-13,25.1484,-3.8973,1.3059,0.0193
2024-08-14,24.7825,-3.0647,1.7546,0.0
2024-08-15,24.9268,-3.3415,1.1061,0.0
2024-08-16,25.1167,-3.0019,0.837,0.0017
2024-08-17,25.1227,-2.5026,0.6339,0.0009
2024-08-18,25.3366,-2.4844,1.1855,0.0062
2024-08-19,25.4946,-3.2623,1.2854,0.0068
2024-08-20,25.5103,-3.5881,0.8288,0.0039
2024-08-21,25.8053,-3.8983,0.9934,0.0138
2024-08-22,25.9619,-3.3981,1.1927,0.2285
2024-08-23,25.7539,-3.4729,1.924,0.2567
2024-08-24,25.7313,-3.2255,2.7181,0.5715
2024-08-25,26.4114,-3.3736,1.9998,0.644
2024-08-26,26.6971,-3.4565,1.0013,0.1045
2024-08-27,26.59,-3.4352,1.0782,0.0005
2024-08-28,26.4422,-3.5448,0.7996,0.002
2024-08-29,26.4291,-2.9157,1.1347,0.0113
2024-08-30,26.4929,-2.4553,1.0095,0.0188
2024-08-31,26.1684,-2.5693,1.0783,0.007
2024-09-01,26.5333,-3.0795,0.9023,0.0105
2024-09-02,26.6348,-3.9118,0.6531,0.013
2024-09-03,26.6606,-2.9648,0.5996,0.0021
2024-09-04,26.9247,-2.9005,0.7517,0.002
2024-09-05,26.5935,-3.5662,1.1867,0.7657
2024-09-06,27.1366,-4.1222,0.7887,0.4782
2024-09-07,27.071,-4.2158,0.8932,0.1138
2024-09-08,26.9107,-3.2933,0.5051,0.2294
2024-09-09,27.1624,-3.1611,1.0832,0.0585
2024-09-10,26.7825,-2.8134,0.9032,0.0124
2024-09-11,26.1729,-3.7493,1.6753,0.0115
2024-09-12,26.0724,-3.2664,1.6151,0.4226
2024-09-13,26.2155,-3.0357,1.5637,0.1805
2024-09-14,26.1519,-2.5152,1.7287,0.3334
2024-09-15,26.5603,-2.9275,1.2242,0.1112
2024-09-16,26.833,-1.8309,1.7359,0.2593
2024-09-17,25.9809,-3.0663,1.316,9.691
2024-09-18,24.6488,-1.5856,-0.6325,77.2737
2024-09-19,25.8538,-1.8656,-0.0952,32.4678
2024-09-20,26.3764,-1.153,-0.0245,9.538
2024-09-21,26.2688,-1.2739,0.2479,11.5156
2024-09-22,26.5146,-1.442,0.1608,6.7841
2024-09-23,27.1524,-0.7196,-0.1478,2.2856
2024-09-24,26.6844,-0.93,0.2891,2.9733
2024-09-25,27.2181,-1.6106,1.1004,1.1252
2024-09-26,26.5682,-2.8388,0.9636,0.256
2024-09-27,26.8213,-2.6919,0.644,0.1308
2024-09-28,27.3886,-3.8319,1.1857,0.083
2024-09-29,27.5619,-3.6692,1.7338,0.05
2024-09-30,27.6515,-2.9454,1.4683,0.0159
2024-10-01,27.5422,-3.4211,0.698,0.0032
2024-10-02,27.7,-2.5351,0.9253,0.0678
2024-10-03,27.3626,-3.7309,1.3666,0.3377
2024-10-04,27.6535,-3.2847,1.3438,0.117
2024-10-05,27.7101,-3.3271,1.5326,0.0112
2024-10-06,27.7707,-3.6462,1.0771,0.0337
2024-10-07,27.8229,-3.7911,1.2119,0.0394
2024-10-08,27.5577,-3.5709,1.0061,0.0111
2024-10-09,27.9544,-3.3832,1.1506,0.0026
2024-10-10,28.4982,-3.0966,1.1882,0.0121
2024-10-11,27.7238,-3.7917,1.6545,2.0818
2024-10-12,28.7803,-2.457,0.6514,0.6891
2024-10-13,28.0187,-2.9162,1.1415,1.5422
2024-10-14,28.2569,-2.5864,1.143,0.6292
2024-10-15,28.479,-1.7084,1.0533,0.1065
2024-10-16,28.2746,-1.1537,1.3031,0.2917
2024-10-17,27.7933,-1.4732,1.8808,2.3341
2024-10-18,27.8551,-1.838,2.2623,1.8202
2024-10-19,28.0542,-1.0033,2.148,3.046
2024-10-20,28.1413,-0.4054,2.2306,3.2374
2024-10-21,28.4571,0.231,2.0784,1.2744
2024-10-22,28.4515,1.2154,1.9703,3.7236
2024-10-23,28.4766,1.501,1.1961,4.5074
2024-10-24,28.2563,-0.278,1.847,1.5598
2024-10-25,28.4304,0.1934,1.4152,0.9562
2024-10-26,29.0147,0.6306,1.4051,1.5692
2024-10-27,28.9618,0.256,1.2955,2.501
2024-10-28,29.2979,-2.9454,1.265,0.8948
2024-10-29,27.9783,-3.4484,1.4857,6.6387
2024-10-30,27.2055,-2.7179,0.6016,44.9226
2024-10-31,26.2323,-1.0104,-0.3797,27.3377
2024-11-01,26.8999,-0.7943,-0.2312,16.7865
2024-11-02,27.8494,-1.0562,0.6421,7.7604
2024-11-03,28.2675,-1.9186,0.6338,0.263
2024-11-04,27.5825,-2.9379,1.472,0.6827
2024-11-05,28.4671,-3.0304,0.6476,0.2317
2024-11-06,28.2155,-1.5923,0.09,2.5306
2024-11-07,27.6972,-0.9856,-0.1405,23.7221
2024-11-08,28.292,-1.4365,0.713,10.763
2024-11-09,28.4053,-2.32,0.6851,1.9916
2024-11-10,28.4927,-2.187,0.7272,0.1789
2024-11-11,28.2519,-2.9172,0.9306,0.0075
2024-11-12,28.6313,-1.6181,0.9577,0.0009
2024-11-13,28.2259,-3.1243,1.0625,2.5661
2024-11-14,28.9956,-1.7586,0.3981,0.9284
2024-11-15,28.7062,-1.8698,0.0939,6.1191
2024-11-16,28.2948,-1.7965,0.0955,7.3954
2024-11-17,27.8872,-1.6534,-0.0534,30.6979
2024-11-18,27.2836,-2.4181,0.2356,53.3773
2024-11-19,28.5249,-2.0002,0.248,14.8075
2024-11-20,28.1069,-1.7409,-0.0146,4.4298
2024-11-21,28.2366,-1.3671,0.2687,4.931
2024-11-22,28.7916,-1.9324,0.794,1.4079
2024-11-23,29.066,-1.873,0.4839,0.2999
2024-11-24,28.8887,-0.7765,-0.306,1.5454
2024-11-25,28.99,-0.0498,-0.0061,3.9704
2024-11-26,28.8584,0.1107,0.0976,4.1157
2024-11-27,28.9615,-1.0738,0.186,6.0867
2024-11-28,28.0509,-0.8215,0.3717,16.8374
2024-11-29,27.6112,-0.3068,0.2334,25.0051
2024-11-30,27.1605,0.4537,-0.7426,34.9568
2024-12-01,26.697,1.1734,-1.5394,63.0519
2024-12-02,27.6965,1.2232,-2.3383,29.4835
2024-12-03,26.2451,1.5609,-1.5988,74.351
2024-12-04,26.118,1.0421,-0.2673,82.5928
2024-12-05,26.1706,0.5146,-0.7925,119.0848
2024-12-06,25.81,1.8623,-2.4404,85.6528
2024-12-07,26.1114,1.8043,-2.1644,27.0146
2024-12-08,26.9347,1.1008,-2.3867,25.8482
2024-12-09,26.4786,0.2023,-3.2815,51.3874
2024-12-10,25.177,1.0335,-1.1419,92.6732
2024-12-11,26.0966,1.2279,-0.644,40.2802
2024-12-12,26.9767,1.22,-1.1595,7.2363
2024-12-13,26.2252,1.651,-1.609,47.2383
2024-12-14,25.9339,2.2694,-1.6021,42.9239
2024-12-15,25.9326,2.9541,-1.3954,43.6138
2024-12-16,25.9215,2.3502,-1.5404,74.8976
2024-12-17,27.0036,2.8683,-0.4165,39.7986
2024-12-18,26.9755,2.8783,-0.5001,10.1739
2024-12-19,26.3607,1.8911,-0.7759,56.1777
2024-12-20,27.2186,2.5069,-0.4186,27.082
2024-12-21,27.3136,2.787,-0.9007,6.3548
2024-12-22,26.5027,2.4808,-0.6153,21.5179
2024-12-23,26.1615,1.4126,-0.4447,26.138
2024-12-24,27.1604,0.7594,-0.9323,11.6035
2024-12-25,26.1006,1.1871,-1.5915,31.568
2024-12-26,26.2474,1.6432,-1.4391,38.3145
2024-12-27,26.2367,1.7808,-1.0885,42.9134
2024-12-28,25.5232,0.7643,-1.309,105.1212
2024-12-29,25.6623,0.7963,-0.9425,157.015
2024-12-30,26.168,0.2373,-0.9145,84.0156
2024-12-31,26.4674,0.7501,-0.9811,44.0531
