tanggal,t2m_c,u10,v10,tp_mm
2022-01-01,26.5619,1.737,-1.612,4.7126
2022-01-02,26.3547,2.2211,-0.7117,12.6428
2022-01-03,26.377,2.0044,-0.6957,16.1995
2022-01-04,25.6559,2.0339,-1.7108,30.2621
2022-01-05,25.0724,3.0585,-2.2175,49.2345
2022-01-06,24.8164,2.0411,-1.6729,48.5853
2022-01-07,24.7984,1.7554,-1.1447,67.6453
2022-01-08,26.3896,1.9946,-0.5731,18.9224
2022-01-09,26.1478,1.3656,-0.734,21.8504
2022-01-10,26.2654,0.6375,-1.2092,16.985
2022-01-11,27.0432,1.6104,-0.3823,11.3189
2022-01-12,27.5702,3.4857,-0.5581,5.5595
2022-01-13,26.6704,3.7538,-1.4621,17.3432
2022-01-14,25.8526,3.5774,-3.8464,19.7545
2022-01-15,26.1685,2.3896,-4.034,14.613
2022-01-16,26.7099,2.4832,-3.4616,6.6897
2022-01-17,25.7496,2.5009,-2.4797,26.5309
2022-01-18,24.5882,1.7582,-1.0418,60.1752
2022-01-19,24.3536,1.4248,1.3202,122.1889
2022-01-20,23.7247,1.2455,0.4982,144.4925
2022-01-21,24.2282,3.4423,-1.5058,74.1644
2022-01-22,26.1097,3.3621,-2.6377,13.5644
2022-01-23,26.4087,3.0721,-2.6859,9.9207
2022-01-24,26.9604,2.0529,-2.7386,3.0533
2022-01-25,27.0332,1.8664,-3.7578,4.1909
2022-01-26,26.5875,1.7385,-4.1215,17.193
2022-01-27,26.1432,2.8558,-3.497,20.7362
2022-01-28,25.4883,3.3302,-2.1091,31.5497
2022-01-29,26.0585,4.3041,-1.8146,23.4623
2022-01-30,25.6508,4.6719,-2.8262,14.1302
2022-01-31,26.628,4.3451,-3.6135,13.7978
2022-02-01,26.6259,3.1885,-4.5228,8.3726
2022-02-02,26.5598,3.3973,-2.6881,6.1877
2022-02-03,24.8471,3.617,-1.7126,11.1902
2022-02-04,25.1029,2.9055,-2.3824,38.5613
2022-02-05,26.2084,0.8585,-2.3589,23.7838
2022-02-06,26.4034,0.886,-2.4152,14.7853
2022-02-07,27.0758,1.3732,-1.7261,6.0696
2022-02-08,25.066,2.2876,-0.6192,47.2414
2022-02-09,24.9552,1.5854,-0.2999,47.6556
2022-02-10,25.0447,0.5781,-1.7151,145.4546
2022-02-11,25.5529,0.7043,-0.8694,112.8348
2022-02-12,25.5059,0.2186,0.2445,29.2606
2022-02-13,26.0361,-1.4028,0.135,19.9566
2022-02-14,26.4861,-1.587,0.1723,13.1669
2022-02-15,26.8911,-1.9989,0.1676,5.6595
2022-02-16,27.0766,-1.4114,0.433,2.8463
2022-02-17,27.016,-0.3442,0.7771,15.1519
2022-02-18,26.7263,0.3652,0.974,24.6684
2022-02-19,25.9075,0.0053,1.1436,32.9082
2022-02-20,26.1205,1.1248,0.3458,26.7407
2022-02-21,25.1494,1.1061,0.1078,33.8516
2022-02-22,24.3362,0.4707,0.2577,58.3926
2022-02-23,24.0375,1.1546,-1.1287,126.2434
2022-02-24,23.916,2.1118,-1.4318,75.0725
