tanggal,t2m_c,u10,v10,tp_mm
2023-01-01,26.1436,5.0713,-3.468,13.7495
2023-01-02,26.3153,4.1963,-3.3852,20.2077
2023-01-03,25.8697,5.4646,-3.0161,37.0856
2023-01-04,25.2785,4.6604,-2.9213,41.7185
2023-01-05,25.5134,4.675,-2.6202,39.1341
2023-01-06,26.4727,5.1142,-2.1688,16.8257
2023-01-07,25.9164,3.9045,-1.0517,8.7052
2023-01-08,25.768,3.1961,-0.6912,6.765
2023-01-09,26.2057,2.8035,-0.2399,6.0976
2023-01-10,26.0153,2.5868,0.6017,6.8936
2023-01-11,25.979,1.9906,-0.2795,7.7883
2023-01-12,26.0211,2.2114,-1.1188,9.2998
2023-01-13,26.752,2.1793,-0.9588,3.5926
2023-01-14,26.3342,2.2692,-0.9451,10.4783
2023-01-15,25.4631,2.1168,-1.7209,41.4402
2023-01-16,25.6968,1.7207,-1.458,31.3023
2023-01-17,26.0052,1.8016,-1.3989,20.2512
2023-01-18,26.1405,2.2186,-1.6459,14.4383
2023-01-19,25.0154,2.5607,-1.4041,31.4133
2023-01-20,26.0094,3.0075,-1.3076,19.1513
2023-01-21,26.9456,2.9735,0.5073,3.6922
2023-01-22,26.7911,2.4409,1.1048,0.9398
2023-01-23,26.995,1.9006,0.7673,0.2642
2023-01-24,25.7391,0.8337,0.8398,19.2597
2023-01-25,26.0232,0.9206,-0.7984,40.0925
2023-01-26,26.7,0.1649,-1.9237,15.7812
2023-01-27,26.6437,0.192,-1.7648,8.8125
2023-01-28,26.1724,0.6226,-1.8075,25.4951
2023-01-29,26.0146,0.9939,-1.7285,68.7424
2023-01-30,26.2517,1.6092,-1.1896,50.4562
2023-01-31,25.628,1.6788,-1.6261,36.9157
2023-02-01,25.5773,1.9635,-2.232,64.6444
2023-02-02,24.632,2.6496,-1.9284,143.267
2023-02-03,23.9864,3.7375,-1.8577,146.3687
2023-02-04,24.5595,2.7312,-0.7201,146.5113
2023-02-05,24.2327,1.6222,-2.1664,124.4655
2023-02-06,25.3565,0.4944,-3.3315,40.216
2023-02-07,25.7626,1.1164,-2.5125,21.6412
2023-02-08,25.8659,2.5186,-1.3785,29.7447
2023-02-09,25.4896,3.4558,-1.6586,49.4158
2023-02-10,25.1954,3.3416,-1.5254,23.4012
2023-02-11,24.8195,3.1776,-1.1571,15.922
2023-02-12,24.9947,3.5675,-0.5103,22.2811
2023-02-13,24.6812,3.6159,-0.0938,51.2424
2023-02-14,23.8684,0.7019,0.3507,79.7041
2023-02-15,24.2169,1.8543,-1.7822,62.8752
2023-02-16,26.1523,1.5927,-1.9624,20.1836
2023-02-17,26.4103,1.3622,-1.9176,3.457
2023-02-18,26.1965,2.183,-1.067,9.5434
2023-02-19,26.4494,2.028,-0.4638,7.5801
2023-02-20,26.2194,1.5808,-1.5132,4.0316
2023-02-21,26.2067,1.4507,-1.6293,9.4549
2023-02-22,25.6155,1.9657,-2.1298,28.9675
2023-02-23,24.7492,2.2634,-2.1214,55.3172
2023-02-24,25.4976,3.3874,-2.2782,40.0234
2023-02-25,26.0887,5.0328,-2.1424,19.6875
2023-02-26,25.108,5.2286,-2.9848,79.5666
2023-02-27,25.6063,4.8181,-2.8094,40.316
2023-02-28,25.4784,4.4964,-1.6607,16.0679
2023-03-01,24.6563,3.9854,-2.3689,34.444
2023-03-02,25.7831,4.1752,-1.8775,19.5485
2023-03-03,26.0363,3.4038,-0.9991,5.9286
2023-03-04,25.6351,3.6173,-0.6033,8.0661
2023-03-05,24.6918,2.7761,-1.4763,11.9982
2023-03-06,25.0533,2.8833,-1.7348,9.0342
2023-03-07,25.9853,2.1919,-1.2254,6.6773
2023-03-08,26.269,2.4682,-1.3261,3.6997
2023-03-09,26.6503,2.596,0.4675,5.3869
2023-03-10,26.5035,2.1079,0.4809,5.7377
2023-03-11,26.1518,1.0861,0.22,4.8998
2023-03-12,25.8009,0.2073,0.2072,7.0846
2023-03-13,25.8662,-0.9518,0.9589,6.6465
2023-03-14,26.6208,-0.822,1.2231,1.9366
2023-03-15,26.9316,-1.104,0.928,2.4345
2023-03-16,26.5405,-1.5872,0.1007,5.1757
2023-03-17,26.3644,-0.0295,-0.5827,25.3078
2023-03-18,26.5118,-1.0619,0.2672,13.6436
2023-03-19,26.6929,-1.1905,0.4219,7.2452
2023-03-20,26.3537,-2.3349,0.5314,9.4267
2023-03-21,26.4104,-0.9551,0.1733,12.3646
2023-03-22,25.9007,-0.1834,-0.1035,24.2782
2023-03-23,25.8751,-0.4832,-0.6037,35.2604
2023-03-24,26.2058,-1.0464,-0.135,40.3162
2023-03-25,26.8846,-0.2207,0.0758,17.0243
2023-03-26,26.9827,-0.6272,0.3384,16.5021
2023-03-27,26.6715,-1.4536,0.9736,14.5792
2023-03-28,27.1404,-1.3304,0.5094,3.8747
2023-03-29,26.2086,-1.963,0.4292,4.4016
2023-03-30,26.7321,-1.4366,0.8106,2.0674
2023-03-31,24.8849,-2.1044,0.5066,49.0428
2023-04-01,25.7862,-1.9742,0.5283,38.788
2023-04-02,26.4799,-0.5165,-0.3266,12.302
2023-04-03,26.4755,-1.5452,0.2306,3.5289
2023-04-04,26.3263,-1.4753,0.0843,4.2153
2023-04-05,26.4725,-0.8987,-0.0008,5.0162
2023-04-06,26.4914,-0.0414,0.9692,4.0134
2023-04-07,25.8966,1.3372,0.9137,9.7512
2023-04-08,25.0978,1.9109,0.0321,23.6675
2023-04-09,24.0039,2.8029,-0.4421,36.1956
2023-04-10,24.5092,2.9935,-2.5376,38.4609
2023-04-11,26.1854,1.5571,-2.5094,13.8876
2023-04-12,26.3354,0.1368,-2.5013,11.6804
2023-04-13,26.0268,0.5356,-2.151,28.902
2023-04-14,26.092,1.4616,-1.9374,16.3171
2023-04-15,25.6071,1.2199,-1.2476,30.6519
2023-04-16,26.145,0.5708,0.0269,20.6599
2023-04-17,25.5402,-1.4403,0.6942,30.409
2023-04-18,25.3979,-3.0449,0.9611,20.0112
2023-04-19,25.3145,-3.5332,1.9794,4.3621
