tanggal,t2m_c,u10,v10,tp_mm
2019-01-01,25.4819,1.8507,-1.754,42.3663
2019-01-02,25.6039,1.5407,-2.1303,26.4733
2019-01-03,26.4546,1.9432,-2.6888,17.2834
2019-01-04,26.2785,2.5636,-1.8998,21.3423
2019-01-05,26.3427,2.261,-0.6891,29.2042
2019-01-06,26.3965,2.6839,-0.422,29.1505
2019-01-07,26.3313,1.8615,-0.0925,21.1689
2019-01-08,27.0576,2.2034,-0.9372,10.7915
2019-01-09,26.5783,1.6222,-2.1223,10.4989
2019-01-10,26.5032,1.9128,-1.5944,10.6408
2019-01-11,26.8217,1.729,-0.4612,8.9646
2019-01-12,27.0378,2.2463,-0.365,9.8449
2019-01-13,26.8137,1.5656,0.2604,22.5908
2019-01-14,25.6703,2.1997,-0.59,58.046
2019-01-15,25.8878,1.3671,-1.5223,32.772
2019-01-16,26.046,0.8473,-2.6311,25.7968
2019-01-17,24.4474,1.493,-1.2851,88.7428
2019-01-18,25.539,1.8548,-0.5141,58.3986
2019-01-19,25.5724,1.7462,-0.8498,38.0057
2019-01-20,25.8206,1.2483,0.3852,43.8706
2019-01-21,25.1193,0.3251,0.1826,94.9076
2019-01-22,24.8208,2.2845,-1.2104,107.1086
2019-01-23,24.8632,4.5449,-2.8208,95.385
2019-01-24,25.3667,3.7079,-3.6867,53.5742
2019-01-25,25.3185,2.6728,-3.2293,34.8548
2019-01-26,25.4543,2.2361,-1.9624,28.6584
2019-01-27,26.1008,1.9939,-2.1393,18.9145
2019-01-28,25.2716,2.5827,-1.438,35.7655
2019-01-29,25.2852,2.5446,-0.7982,43.7598
2019-01-30,25.5154,2.9003,-0.3602,44.0282
2019-01-31,24.871,3.2303,-0.8027,46.9515
2019-02-01,25.1819,3.2491,-2.2541,30.5925
2019-02-02,25.4155,3.0451,-1.822,27.3168
2019-02-03,26.2076,3.382,-2.3724,19.2025
2019-02-04,26.1206,3.0617,-2.2777,18.0986
2019-02-05,25.6205,3.1023,-2.9739,17.4155
2019-02-06,25.7276,2.2626,-2.5381,14.604
2019-02-07,25.9086,2.4418,-1.5635,17.0415
2019-02-08,25.8792,2.4348,-1.262,13.643
2019-02-09,25.7774,2.1887,-1.6706,9.7072
2019-02-10,25.9602,2.2744,-2.0053,7.6436
2019-02-11,26.0713,2.0091,-2.2789,5.1705
2019-02-12,25.6044,1.8827,-2.3987,6.3938
2019-02-13,25.8438,2.2533,-2.0526,6.8625
2019-02-14,26.4867,2.1919,-0.1788,4.7111
2019-02-15,26.6532,1.3588,-0.2266,6.8215
2019-02-16,26.4154,1.3784,-0.8505,15.0491
2019-02-17,26.283,1.4372,-1.4947,17.7434
2019-02-18,26.3089,1.6756,-1.3144,10.9859
2019-02-19,26.0634,1.3816,-2.0652,13.8256
2019-02-20,26.3347,1.5866,-2.0129,9.0449
2019-02-21,26.2198,1.8918,-0.906,14.5815
2019-02-22,26.5603,1.6009,-0.1091,11.8687
2019-02-23,27.4295,1.5377,0.5314,6.1044
2019-02-24,27.2632,0.7859,-0.2556,9.1435
2019-02-25,26.9436,0.7439,0.1134,8.1456
2019-02-26,26.7492,-0.3774,0.4075,8.9836
2019-02-27,27.1208,-0.8769,-0.3445,6.1572
2019-02-28,27.0352,-1.049,0.235,7.6895
2019-03-01,26.7014,-1.5983,-0.3,31.1138
2019-03-02,26.541,-1.0582,0.4932,29.2751
